t	level_1	0.025	0.25	0.5	0.75	0.975
0.0	0	0.0019409068000711645	0.003309045880435223	0.0043846985279938945	0.0060630355621744325	0.012401071453810305
1.0	0	0.0031075622474924444	0.0052879594245545825	0.007040900352478551	0.009764190178755528	0.020632994229526063
2.0	0	0.0039028585033894555	0.006564313759487318	0.0086995434804258	0.012084686977569913	0.02598811883186733
3.0	0	0.004387187333476166	0.0073729425613541805	0.009830215355806434	0.013656781520688124	0.02961179096256934
4.0	0	0.004729666217849335	0.007963344049256537	0.010623441029940723	0.014756599257907257	0.03231573669736676
5.0	0	0.005000191834724628	0.008375951425623857	0.011248798962401094	0.015594444529369807	0.034389359484128086
6.0	0	0.005203628814035215	0.008749844257827261	0.011727548144890836	0.016309105520122588	0.03597138367019321
7.0	0	0.0053839622082790415	0.009085680780820728	0.012112031763578546	0.01692511197881248	0.03754529490142703
8.0	0	0.005522420510174302	0.009363872700818853	0.012466784101258812	0.01744772589598754	0.03882994458618416
9.0	0	0.005707884566127099	0.009609636057109393	0.0128435183440442	0.017982298814308663	0.04004400441280116
10.0	0	0.005859632900292233	0.009817549761206676	0.013191083313478643	0.018478910137325277	0.04115111186651027
11.0	0	0.0059698397912510475	0.010059310163073206	0.013539097056965517	0.01901608889293688	0.04219300415726545
12.0	0	0.006099012373764748	0.010289005187332875	0.013919620066662114	0.019454367355762385	0.04320535783934484
13.0	0	0.006200321784263024	0.01049373708895297	0.014190687228852422	0.01994092116219859	0.044149648463157255
14.0	0	0.006316870361326419	0.01071372970228469	0.014497896520623832	0.02035257206794619	0.04506185125624452
15.0	0	0.0064653014733787855	0.01089166575650084	0.014830091937158143	0.02078755822119263	0.04594091247776673
16.0	0	0.006652617494314276	0.011116345046882668	0.01513155640596584	0.021198987578122663	0.04678496610838127
17.0	0	0.006855231174427961	0.011335642806419225	0.015412919086782462	0.021672554181518013	0.04759388302226518
18.0	0	0.007073956259639672	0.011528038284675206	0.01573759727717003	0.022154639327958962	0.04828925789972629
19.0	0	0.007153612492590109	0.01175057370381627	0.01602646987728882	0.022668656286502224	0.049211043356548204
20.0	0	0.0072524869588057326	0.01186328396463111	0.016359662734640613	0.02307738715055801	0.050104891249261596
21.0	0	0.007329002173370999	0.012094752763917001	0.016725172398295778	0.023509407979575857	0.050777848886558404
22.0	0	0.00739559356668309	0.012328609422465884	0.01703937146423867	0.024177966963501277	0.05141757040111474
23.0	0	0.0074529222203117505	0.012564767014972274	0.017506595042563387	0.024729040015855845	0.05203179799856092
24.0	0	0.007668069385358798	0.012816601650029558	0.017875648193241816	0.025242507660982672	0.05262215494529194
25.0	0	0.007790419790631083	0.01303975412385052	0.018203292757266187	0.025874536394515826	0.05312715855294239
26.0	0	0.007882924393018152	0.01327980440620187	0.018648281519097663	0.026321805533691435	0.05388309951151318
27.0	0	0.007941160881349949	0.013488470081889277	0.019106041209195818	0.02686188974249798	0.054818157774671014
28.0	0	0.008044440093210039	0.013716682734439916	0.019580879788013556	0.027398334734062404	0.05574074255730374
29.0	0	0.00817355814154857	0.013937118241487271	0.02006263327892734	0.027875676459589053	0.05665915402043648
30.0	0	0.008345869794795539	0.014253536719116182	0.02043356878683973	0.02832291065656109	0.05780928020147808
31.0	0	0.008424915372107	0.014551757861390546	0.02087448403089723	0.02888535163159882	0.058323128838062864
32.0	0	0.008507872993875364	0.014877484925667055	0.021335509096338287	0.029638292384773477	0.05874947454017081
33.0	0	0.008718203939401892	0.015168974177578601	0.021788808494836047	0.03022941738016311	0.05947194739178126
34.0	0	0.008892890109777934	0.015595527222302159	0.022212579329488433	0.03089889669379707	0.06037946551534761
35.0	0	0.008928951209060475	0.01592094119619473	0.02255843033248625	0.031807070696131916	0.060948135178685914
36.0	0	0.008963324278366195	0.016209705590091574	0.02290227734860424	0.03259722898698451	0.06173677643496269
37.0	0	0.008998988413311773	0.01663314389431492	0.023299656743967414	0.03316989808048611	0.06250886704799712
38.0	0	0.009042592239967282	0.017042603565407304	0.023949401437761857	0.03359849659935448	0.06317288154927647
39.0	0	0.00910362324386211	0.017259237548991356	0.024561625691080675	0.0346292249605038	0.06400933088313347
40.0	0	0.009170102943570416	0.017561350984449484	0.025111457546862174	0.03572832516921159	0.06504421309745403
41.0	0	0.009244367357988755	0.017907313336001728	0.02559317080978671	0.03646064365844007	0.06587019653410423
42.0	0	0.009329430507631001	0.018284146892314057	0.026160634369884972	0.037495006499339144	0.0676569482293009
43.0	0	0.009429110018710166	0.018707608799077263	0.026865789073919236	0.03818732799599618	0.0693899270043815
44.0	0	0.009470570228663393	0.01914484184501917	0.02760637572663034	0.03914219252522725	0.07013364033696425
45.0	0	0.009515404188150344	0.019753959476550606	0.028314108461083884	0.0400541917753011	0.07104813378529427
