model	elpd_diff	se_diff	p_worse	diag_diff	diag_elpd	elpd_loo	se_elpd_loo	p_loo	se_p_loo	looic	se_looic
sigmoid	0	0	NA		3 k_psis > 0.7	-326.4979023726501	20.41605841389701	3.424917677862222	0.3374094804560834	652.9958047453002	40.83211682779402
estC	-1.4323324120321441	1.4588975507565833	0.8368985761688361	|elpd_diff| < 4		-327.9302347846818	20.606542295286726	3.6563962356152135	0.3659574795204251	655.8604695693635	41.21308459057345
main_analysis	-1.4473402412650458	1.4533827783102347	0.8403366451710508	|elpd_diff| < 4	1 k_psis > 0.7	-327.945242613915	20.604491276368496	3.6655905787641663	0.36296646715580255	655.89048522783	41.20898255273699
no_saturation	-45.466207658911514	9.950214273087498	0.9999975540341083		16 k_psis > 0.7	-371.96411003156123	25.547252819841116	4.106163870477615	0.5833391141359827	743.9282200631225	51.09450563968223
