round	copies_cat	value	label	copies_cat_label
16.0	1	0.09926388184744075	prev_among_par	0_200_copies
16.0	2	0.009418077504096397	prev_among_par	200_1000_copies
16.0	3	0.08244072995898251	prev_among_par	1000_inf_copies
17.0	1	0.12869639126668156	prev_among_par	0_200_copies
17.0	2	0.007008122962571142	prev_among_par	200_1000_copies
17.0	3	0.05367666675183552	prev_among_par	1000_inf_copies
18.0	1	0.1440005649170101	prev_among_par	0_200_copies
18.0	2	0.005007204859070966	prev_among_par	200_1000_copies
18.0	3	0.037164464304111994	prev_among_par	1000_inf_copies
19.0	1	0.14741805265662453	prev_among_par	0_200_copies
19.0	2	0.0043797684154920635	prev_among_par	200_1000_copies
19.0	3	0.02389441542702146	prev_among_par	1000_inf_copies
20.0	1	0.1615021330114332	prev_among_par	0_200_copies
20.0	2	0.003631026009897405	prev_among_par	200_1000_copies
20.0	3	0.01774548632203722	prev_among_par	1000_inf_copies
16.0	2	0.1142405884661897	prev_among_viremic	200_1000_copies
16.0	3	1.0	prev_among_viremic	1000_inf_copies
17.0	2	0.13056181366424904	prev_among_viremic	200_1000_copies
17.0	3	1.0	prev_among_viremic	1000_inf_copies
18.0	2	0.13473098436446324	prev_among_viremic	200_1000_copies
18.0	3	0.9999999999999999	prev_among_viremic	1000_inf_copies
19.0	2	0.18329673847300393	prev_among_viremic	200_1000_copies
19.0	3	1.0	prev_among_viremic	1000_inf_copies
20.0	2	0.20461687800509684	prev_among_viremic	200_1000_copies
20.0	3	1.0	prev_among_viremic	1000_inf_copies
