var,val
r3_medianYear,1996
r3_maxYear,1997
r4_minYear,1997
r4_medianYear,1997
r4_maxYear,1998
r5_minYear,1997
r5_medianYear,1998
r5_maxYear,1999
r6_minYear,1999
r6_medianYear,1999
r6_maxYear,2000
r7_minYear,2000
r7_medianYear,2000
r7_maxYear,2001
r8_minYear,2001
r8_medianYear,2001
r8_maxYear,2002
r9_minYear,2002
r9_medianYear,2003
r9_maxYear,2003
r10_minYear,2003
r10_medianYear,2004
r10_maxYear,2004
r11_minYear,2005
r11_medianYear,2005
r11_maxYear,2006
r12_minYear,2006
r12_medianYear,2007
r12_maxYear,2008
r13_minYear,2008
r13_medianYear,2009
r13_maxYear,2009
r14_minYear,2010
r14_medianYear,2010
r14_maxYear,2011
r15_minYear,2011
r15_medianYear,2012
r15_maxYear,2013
r15.1_minYear,2012
r15.1_medianYear,2012
r15.1_maxYear,2013
r16_minYear,2013
r16_medianYear,2014
r16_maxYear,2015
r17_minYear,2015
r17_medianYear,2015
r17_maxYear,2016
r18_minYear,2016
r18_medianYear,2017
r18_maxYear,2018
r19_minYear,2018
r19_medianYear,2019
r19_maxYear,2020
r20_minYear,2021
r20_medianYear,2022
r20_maxYear,2023
n_par,"93,507"
n_par_r16_plus,"43,458"
n_r1_par,"12,372"
n_r2_par,"12,092"
n_r3_par,"13,285"
n_r4_par,"13,137"
n_r5_par,"11,050"
n_r6_par,"14,660"
n_r7_par,"14,131"
n_r8_par,"15,655"
n_r9_par,"12,004"
n_r10_par,"11,834"
n_r11_par,"14,268"
n_r12_par,"15,419"
n_r13_par,"14,707"
n_r14_par,"15,940"
n_r15_par,"17,167"
n_r15.1_par,"5,069"
n_r16_par,"18,005"
n_r17_par,"19,343"
n_r18_par,"19,815"
n_r19_par,"19,338"
n_r20_par,"15,944"
n_plhiv,"15,878"
n_plhiv_r16_plus,"7,665"
n_r1_plhiv,"1,959"
n_r2_plhiv,"1,787"
n_r3_plhiv,"1,857"
n_r4_plhiv,"1,912"
n_r5_plhiv,"1,504"
n_r6_plhiv,"1,825"
n_r7_plhiv,"1,838"
n_r8_plhiv,"1,903"
n_r9_plhiv,"1,477"
n_r10_plhiv,"1,482"
n_r11_plhiv,"1,659"
n_r12_plhiv,"1,820"
n_r13_plhiv,"1,832"
n_r14_plhiv,"2,035"
n_r15_plhiv,"3,524"
n_r15.1_plhiv,"1,761"
n_r16_plhiv,"3,438"
n_r17_plhiv,"3,660"
n_r18_plhiv,"3,686"
n_r19_plhiv,"3,391"
n_r20_plhiv,"2,892"
n_r1_viremic,733
n_r2_viremic,268
n_r3_viremic,268
n_r4_viremic,360
n_r6_viremic,38
n_r7_viremic,31
n_r8_viremic,40
n_r9_viremic,120
n_r10_viremic,119
n_r11_viremic,147
n_r12_viremic,172
n_r13_viremic,"1,153"
n_r14_viremic,82
n_r15_viremic,"1,363"
n_r15.1_viremic,27
n_r16_viremic,"1,631"
n_r17_viremic,"1,160"
n_r18_viremic,826
n_r19_viremic,535
n_r20_viremic,335
n_llv,918
n_llv_r16_plus,538
p_llv_r16_plus,7.02\\%
n_r1_llv,37
n_r2_llv,11
n_r3_llv,11
n_r4_llv,8
n_r6_llv,2
n_r7_llv,4
n_r8_llv,2
n_r9_llv,5
n_r10_llv,10
n_r11_llv,13
n_r12_llv,11
n_r13_llv,155
n_r14_llv,5
n_r15_llv,105
n_r15.1_llv,1
n_r16_llv,167
n_r17_llv,134
n_r18_llv,98
n_r19_llv,82
n_r20_llv,57
n_missing_finalhiv_r16_plus,82
n_missing_vl_r16_plus,243
p_missing_vl_r16_plus,1.4\\%
n_uniq_tx_llv_vl_pairs,109
q050_uniq_tx_llv_vl_pairs_years,1.74
q025_uniq_tx_llv_vl_pairs_years,1.33
q975_uniq_tx_llv_vl_pairs_years,3.05
n_uniq_tx_llv_vl_pairs_0_to_40_copies,67
n_uniq_tx_llv_vl_pairs_40_to_200_copies,4
n_uniq_tx_llv_vl_pairs_200_to_1000_copies,10
n_uniq_tx_llv_vl_pairs_1000_to_inf_copies,28
p_uniq_tx_llv_vl_pairs_0_to_40_copies,61.5\\%
p_uniq_tx_llv_vl_pairs_40_to_200_copies,3.7\\%
p_uniq_tx_llv_vl_pairs_200_to_1000_copies,9.2\\%
p_uniq_tx_llv_vl_pairs_1000_to_inf_copies,25.7\\%
n_uniq_tx_supr_vl_pairs,"2,891"
q050_uniq_tx_supr_vl_pairs_years,1.72
q025_uniq_tx_supr_vl_pairs_years,1.35
q975_uniq_tx_supr_vl_pairs_years,3.09
n_uniq_tx_supr_vl_pairs_0_to_40_copies,"2,763"
n_uniq_tx_supr_vl_pairs_40_to_200_copies,12
n_uniq_tx_supr_vl_pairs_200_to_1000_copies,40
n_uniq_tx_supr_vl_pairs_1000_to_inf_copies,76
p_uniq_tx_supr_vl_pairs_0_to_40_copies,95.6\\%
p_uniq_tx_supr_vl_pairs_40_to_200_copies,0.4\\%
p_uniq_tx_supr_vl_pairs_200_to_1000_copies,1.4\\%
p_uniq_tx_supr_vl_pairs_1000_to_inf_copies,2.6\\%
n_donor-all_recipient-all_couples,"1,668"
n_donor-all_recipient-all_years,"6,629"
q050_donor-all_recipient-all_years,1.4
q025_donor-all_recipient-all_years,0.7
q975_donor-all_recipient-all_years,3.2
n_donor-all_recipient-all_seroconversion,332
n_donor-all_recipient-exclusivelymonogamous_couples,917
n_donor-all_recipient-exclusivelymonogamous_years,"3,196"
q050_donor-all_recipient-exclusivelymonogamous_years,1.4
q025_donor-all_recipient-exclusivelymonogamous_years,0.6
q975_donor-all_recipient-exclusivelymonogamous_years,2.1
n_donor-all_recipient-exclusivelymonogamous_seroconversion,176
n_merged_donor-noacute_recipient-exclusivelymonogamous_couples,650
n_merged_donor-noacute_recipient-exclusivelymonogamous_years,"1,702"
q050_merged_donor-noacute_recipient-exclusivelymonogamous_years,1.8
q000_merged_donor-noacute_recipient-exclusivelymonogamous_years,0.4
q100_merged_donor-noacute_recipient-exclusivelymonogamous_years,16.3
q050_merged_donor-noacute_recipient-exclusivelymonogamous_interval,1.5
q000_merged_donor-noacute_recipient-exclusivelymonogamous_interval,0.2
q100_merged_donor-noacute_recipient-exclusivelymonogamous_interval,3.2
q000_merged_donor-noacute_recipient-exclusivelymonogamous_vl_testing_interval,0.0
q050_merged_donor-noacute_recipient-exclusivelymonogamous_vl_testing_interval,0.0
q100_merged_donor-noacute_recipient-exclusivelymonogamous_vl_testing_interval,2.0
n_merged_donor-noacute_recipient-exclusivelymonogamous_seroconversion,111
n_merged_donor-noacute_recipient-exclusivelymonogamous_seroconversion_per_100_year,6.5
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_couples,57
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_years,119
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_seroconversion,nine
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_seroconversion_per_100_year,7.6
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_1000+_to_200-1000_seroconversion,two
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_200-1000_to_1000+_seroconversion,one
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_200-1000_to_bd_seroconversion,four
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_200-1000_to_missing_seroconversion,two
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_tx_200-1000_to_any_couples,23
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_tx_200-1000_to_any_years,39.1
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_tx_200-1000_to_any_seroconversion,four
n_merged_donor-noacute_recipient-exclusivelymonogamous_llv_tx_200-1000_to_any_seroconversion_per_100_year,10.2
demographic_table,"\\begin{tabular}{lccccc}
\\toprule
&&\\multicolumn{4}{c}{\\textbf{Index partners in serodifferent couples}}\\\\
\\cline{3-6}
&&&\\multicolumn{3}{c}{\\textbf{w/ monogamous partners}}\\\\
\\cline{4-6}
&&&&\\multicolumn{2}{c}{\\textbf{in transmisison analysis}}\\\\
\\cline{5-6}
&\\textbf{Participants w/ HIV}&\\textbf{All}&\\textbf{All}&\\textbf{All}&\\textbf{w/ seroconverting partners}\\\\
\\midrule
\\textbf{}&15,878&1,668&917&650&111\\\\\\textbf{Sex}&&&&&\\\\\\hspace{3mm}F&10,183 (64.1\\%)&775 (46.5\\%)&282 (30.8\\%)&219 (33.7\\%)&25 (22.5\\%)\\\\\\hspace{3mm}M&5,695 (35.9\\%)&893 (53.5\\%)&635 (69.2\\%)&431 (66.3\\%)&86 (77.5\\%)\\\\\\textbf{Community type}&&&&&\\\\\\hspace{3mm}Agrarian&7,601 (47.9\\%)&977 (58.6\\%)&554 (60.4\\%)&371 (57.1\\%)&72 (64.9\\%)\\\\\\hspace{3mm}Fishing&4,128 (26.0\\%)&258 (15.5\\%)&115 (12.5\\%)&107 (16.5\\%)&7 (6.3\\%)\\\\\\hspace{3mm}Trading&4,149 (26.1\\%)&433 (26.0\\%)&248 (27.0\\%)&172 (26.5\\%)&32 (28.8\\%)\\\\\\textbf{Age (years)}&&&&&\\\\\\hspace{3mm}15-24&3,206 (20.2\\%)&197 (11.8\\%)&82 (8.9\\%)&66 (10.2\\%)&10 (9.0\\%)\\\\\\hspace{3mm}25-34&7,427 (46.8\\%)&776 (46.5\\%)&411 (44.8\\%)&280 (43.1\\%)&63 (56.8\\%)\\\\\\hspace{3mm}35-60&5,245 (33.0\\%)&695 (41.7\\%)&424 (46.2\\%)&304 (46.8\\%)&38 (34.2\\%)\\\\
\\bottomrule
\\end{tabular}"
q0.025_r16_200_1000_copies_prev_among_par,0.77\\%
q0.025_r17_200_1000_copies_prev_among_par,0.61\\%
q0.025_r18_200_1000_copies_prev_among_par,0.44\\%
q0.025_r19_200_1000_copies_prev_among_par,0.44\\%
q0.025_r20_200_1000_copies_prev_among_par,0.33\\%
q0.025_r16_200_1000_copies_prev_among_viremic,9.3\\%
q0.025_r17_200_1000_copies_prev_among_viremic,10.4\\%
q0.025_r18_200_1000_copies_prev_among_viremic,9.5\\%
q0.025_r19_200_1000_copies_prev_among_viremic,12.6\\%
q0.025_r20_200_1000_copies_prev_among_viremic,12.7\\%
q0.25_r16_200_1000_copies_prev_among_par,0.88\\%
q0.25_r17_200_1000_copies_prev_among_par,0.72\\%
q0.25_r18_200_1000_copies_prev_among_par,0.53\\%
q0.25_r19_200_1000_copies_prev_among_par,0.52\\%
q0.25_r20_200_1000_copies_prev_among_par,0.4\\%
q0.25_r16_200_1000_copies_prev_among_viremic,10.4\\%
q0.25_r17_200_1000_copies_prev_among_viremic,11.9\\%
q0.25_r18_200_1000_copies_prev_among_viremic,11.2\\%
q0.25_r19_200_1000_copies_prev_among_viremic,14.4\\%
q0.25_r20_200_1000_copies_prev_among_viremic,15.0\\%
q0.5_r16_200_1000_copies_prev_among_par,0.95\\%
q0.5_r17_200_1000_copies_prev_among_par,0.78\\%
q0.5_r18_200_1000_copies_prev_among_par,0.57\\%
q0.5_r19_200_1000_copies_prev_among_par,0.56\\%
q0.5_r20_200_1000_copies_prev_among_par,0.44\\%
q0.5_r16_200_1000_copies_prev_among_viremic,11.0\\%
q0.5_r17_200_1000_copies_prev_among_viremic,12.7\\%
q0.5_r18_200_1000_copies_prev_among_viremic,12.0\\%
q0.5_r19_200_1000_copies_prev_among_viremic,15.6\\%
q0.5_r20_200_1000_copies_prev_among_viremic,16.3\\%
q0.75_r16_200_1000_copies_prev_among_par,1.0\\%
q0.75_r17_200_1000_copies_prev_among_par,0.84\\%
q0.75_r18_200_1000_copies_prev_among_par,0.62\\%
q0.75_r19_200_1000_copies_prev_among_par,0.62\\%
q0.75_r20_200_1000_copies_prev_among_par,0.49\\%
q0.75_r16_200_1000_copies_prev_among_viremic,11.7\\%
q0.75_r17_200_1000_copies_prev_among_viremic,13.4\\%
q0.75_r18_200_1000_copies_prev_among_viremic,12.8\\%
q0.75_r19_200_1000_copies_prev_among_viremic,16.7\\%
q0.75_r20_200_1000_copies_prev_among_viremic,17.7\\%
q0.975_r16_200_1000_copies_prev_among_par,1.1\\%
q0.975_r17_200_1000_copies_prev_among_par,0.96\\%
q0.975_r18_200_1000_copies_prev_among_par,0.71\\%
q0.975_r19_200_1000_copies_prev_among_par,0.73\\%
q0.975_r20_200_1000_copies_prev_among_par,0.58\\%
q0.975_r16_200_1000_copies_prev_among_viremic,13.0\\%
q0.975_r17_200_1000_copies_prev_among_viremic,15.0\\%
q0.975_r18_200_1000_copies_prev_among_viremic,14.5\\%
q0.975_r19_200_1000_copies_prev_among_viremic,19.0\\%
q0.975_r20_200_1000_copies_prev_among_viremic,20.7\\%
p24_cutoff,0.03
gp41_cutoff,0.06
n_couple_linkage_dat,65
p_couple_linkage_dat,58.6\\%
n_couple_linked,55
p_couple_linked,84.6\\%
n_llv_linkage_dat,seven
n_llv_linked,five
n_llv_likely_linked,six
p_llv_linked,71.4\\%
n_llv_linked_both,two
n_llv_linked_only_gp41,three
R78014_R04130_gp41_d_min,0.06
llv_table,"\\begin{tabular}{lccccccccc}
\\toprule
&\\multicolumn{3}{c}{\\textbf{Index}}&&\\multicolumn{2}{c}{\\textbf{Partner}}&&\\multicolumn{2}{c}{\\textbf{Linkage}}\\\\
\\cline{2-4}\\cline{9-10}
\\textbf{Couple}&\\textbf{Treatment}&\\multicolumn{2}{c}{\\textbf{Copies/mL (date)}}&&\\multicolumn{2}{c}{\\textbf{HIV seropositivity}}&&\\textbf{p24}&\\textbf{gp41}\\\\
\\midrule
R78014$\\rightarrow$R04130&pre-treatment&700 (1998-02)&2,900 (1999-05)&&N (1998-02)&P (1999-05)&&unavailable&likely linked\\\\
R41593$\\rightarrow$R64619&pre-treatment&600 (2003-12)&unavailable&&N (2003-12)&P (2005-05)&&linked&linked\\\\
R86742$\\rightarrow$R92219&pre-treatment&500 (2005-07)&unavailable&&N (2005-07)&P (2007-03)&&linked&linked\\\\
R44128$\\rightarrow$R70749&treated&400 (2007-10)&$<40$ (2009-07)&&N (2007-10)&P (2009-07)&&unavailable&linked\\\\
R58579$\\rightarrow$R12514&pre-treatment&5,000 (2013-07)&500 (2015-07)&&N (2013-07)&P (2015-08)&&unlinked&linked\\\\
R07545$\\rightarrow$R11340&treated&500 (2014-08)&$<40$ (2015-12)&&N (2014-08)&P (2015-12)&&unlinked&unlinked\\\\
R52200$\\rightarrow$R34998&treated&800 (2014-11)&$<40$ (2016-06)&&N (2014-11)&P (2016-06)&&unavailable&unavailable\\\\
R72179$\\rightarrow$R38357&treated&69,800 (2014-12)&400 (2016-07)&&N (2014-12)&P (2016-07)&&unlinked&linked\\\\
R37494$\\rightarrow$R17417&treated&800 (2017-06)&$<40$ (2019-05)&&N (2017-06)&P (2019-06)&&unavailable&unavailable\\\\
\\bottomrule
\\end{tabular}"
q50_main_analysis_mu0,"12,593"
q0.025_main_analysis_mu_trans_rate_per_100_year,10.6
q0.025_main_analysis_max_trans_rate_per_100_year,11.1
q0.025_main_analysis_1000_trans_rate_per_100_year,1.4
q0.025_main_analysis_200_trans_rate_per_100_year,0.29
q0.25_main_analysis_mu_trans_rate_per_100_year,12.6
q0.25_main_analysis_max_trans_rate_per_100_year,13.7
q0.25_main_analysis_1000_trans_rate_per_100_year,2.3
q0.25_main_analysis_200_trans_rate_per_100_year,0.48
q0.5_main_analysis_mu_trans_rate_per_100_year,13.7
q0.5_main_analysis_max_trans_rate_per_100_year,15.3
q0.5_main_analysis_1000_trans_rate_per_100_year,3.0
q0.5_main_analysis_200_trans_rate_per_100_year,0.65
q0.75_main_analysis_mu_trans_rate_per_100_year,14.9
q0.75_main_analysis_max_trans_rate_per_100_year,17.2
q0.75_main_analysis_1000_trans_rate_per_100_year,4.0
q0.75_main_analysis_200_trans_rate_per_100_year,0.9
q0.975_main_analysis_mu_trans_rate_per_100_year,17.1
q0.975_main_analysis_max_trans_rate_per_100_year,21.4
q0.975_main_analysis_1000_trans_rate_per_100_year,7.5
q0.975_main_analysis_200_trans_rate_per_100_year,2.1
q0.025_main_analysis_max_v_mu_trans_rr,1.0
q0.025_main_analysis_1000_v_mu_trans_rr,0.12
q0.025_main_analysis_200_v_mu_trans_rr,0.02
q0.25_main_analysis_max_v_mu_trans_rr,1.0
q0.25_main_analysis_1000_v_mu_trans_rr,0.16
q0.25_main_analysis_200_v_mu_trans_rr,0.03
q0.5_main_analysis_max_v_mu_trans_rr,1.1
q0.5_main_analysis_1000_v_mu_trans_rr,0.21
q0.5_main_analysis_200_v_mu_trans_rr,0.05
q0.75_main_analysis_max_v_mu_trans_rr,1.2
q0.75_main_analysis_1000_v_mu_trans_rr,0.29
q0.75_main_analysis_200_v_mu_trans_rr,0.06
q0.975_main_analysis_max_v_mu_trans_rr,1.6
q0.975_main_analysis_1000_v_mu_trans_rr,0.62
q0.975_main_analysis_200_v_mu_trans_rr,0.17
q0.5_main_analysis_max_v_mu_trans_rr_percent,107\\%
q0.5_main_analysis_1000_v_mu_trans_rr_percent,21\\%
q0.5_main_analysis_200_v_mu_trans_rr_percent,5\\%
q0.025_main_analysis_extra_trans_rate_per_100_year,0.57
q0.25_main_analysis_extra_trans_rate_per_100_year,0.88
q0.5_main_analysis_extra_trans_rate_per_100_year,1.1
q0.75_main_analysis_extra_trans_rate_per_100_year,1.3
q0.975_main_analysis_extra_trans_rate_per_100_year,1.8
q0.5_main_analysis_intra_extra_rr_parity,335
q50_sex_predictor_mean_mu0,"12,597"
q0.025_sex_predictor_mean_mu_trans_rate_per_100_year,10.7
q0.025_sex_predictor_mean_max_trans_rate_per_100_year,10.9
q0.025_sex_predictor_mean_1000_trans_rate_per_100_year,1.7
q0.025_sex_predictor_mean_200_trans_rate_per_100_year,0.35
q0.25_sex_predictor_mean_mu_trans_rate_per_100_year,12.9
q0.25_sex_predictor_mean_max_trans_rate_per_100_year,13.5
q0.25_sex_predictor_mean_1000_trans_rate_per_100_year,2.9
q0.25_sex_predictor_mean_200_trans_rate_per_100_year,0.63
q0.5_sex_predictor_mean_mu_trans_rate_per_100_year,14.3
q0.5_sex_predictor_mean_max_trans_rate_per_100_year,15.2
q0.5_sex_predictor_mean_1000_trans_rate_per_100_year,4.0
q0.5_sex_predictor_mean_200_trans_rate_per_100_year,0.89
q0.75_sex_predictor_mean_mu_trans_rate_per_100_year,15.8
q0.75_sex_predictor_mean_max_trans_rate_per_100_year,17.2
q0.75_sex_predictor_mean_1000_trans_rate_per_100_year,5.3
q0.75_sex_predictor_mean_200_trans_rate_per_100_year,1.3
q0.975_sex_predictor_mean_mu_trans_rate_per_100_year,19.8
q0.975_sex_predictor_mean_max_trans_rate_per_100_year,22.7
q0.975_sex_predictor_mean_1000_trans_rate_per_100_year,9.5
q0.975_sex_predictor_mean_200_trans_rate_per_100_year,3.1
q0.025_sex_predictor_mean_max_v_mu_trans_rr,1.0
q0.025_sex_predictor_mean_1000_v_mu_trans_rr,0.13
q0.025_sex_predictor_mean_200_v_mu_trans_rr,0.03
q0.25_sex_predictor_mean_max_v_mu_trans_rr,1.0
q0.25_sex_predictor_mean_1000_v_mu_trans_rr,0.2
q0.25_sex_predictor_mean_200_v_mu_trans_rr,0.04
q0.5_sex_predictor_mean_max_v_mu_trans_rr,1.0
q0.5_sex_predictor_mean_1000_v_mu_trans_rr,0.26
q0.5_sex_predictor_mean_200_v_mu_trans_rr,0.06
q0.75_sex_predictor_mean_max_v_mu_trans_rr,1.1
q0.75_sex_predictor_mean_1000_v_mu_trans_rr,0.37
q0.75_sex_predictor_mean_200_v_mu_trans_rr,0.09
q0.975_sex_predictor_mean_max_v_mu_trans_rr,1.4
q0.975_sex_predictor_mean_1000_v_mu_trans_rr,0.75
q0.975_sex_predictor_mean_200_v_mu_trans_rr,0.24
q0.5_sex_predictor_mean_max_v_mu_trans_rr_percent,102\\%
q0.5_sex_predictor_mean_1000_v_mu_trans_rr_percent,26\\%
q0.5_sex_predictor_mean_200_v_mu_trans_rr_percent,6\\%
q0.025_sex_predictor_mean_extra_trans_rate_per_100_year,0.59
q0.25_sex_predictor_mean_extra_trans_rate_per_100_year,0.9
q0.5_sex_predictor_mean_extra_trans_rate_per_100_year,1.1
q0.75_sex_predictor_mean_extra_trans_rate_per_100_year,1.3
q0.975_sex_predictor_mean_extra_trans_rate_per_100_year,1.8
q0.5_sex_predictor_mean_intra_extra_rr_parity,242
q50_sex_predictor_female_mu0,"12,597"
q0.025_sex_predictor_female_mu_trans_rate_per_100_year,5.3
q0.025_sex_predictor_female_max_trans_rate_per_100_year,6.8
q0.025_sex_predictor_female_1000_trans_rate_per_100_year,0.54
q0.025_sex_predictor_female_200_trans_rate_per_100_year,0.11
q0.25_sex_predictor_female_mu_trans_rate_per_100_year,8.3
q0.25_sex_predictor_female_max_trans_rate_per_100_year,11.2
q0.25_sex_predictor_female_1000_trans_rate_per_100_year,1.1
q0.25_sex_predictor_female_200_trans_rate_per_100_year,0.22
q0.5_sex_predictor_female_mu_trans_rate_per_100_year,10.2
q0.5_sex_predictor_female_max_trans_rate_per_100_year,14.9
q0.5_sex_predictor_female_1000_trans_rate_per_100_year,1.6
q0.5_sex_predictor_female_200_trans_rate_per_100_year,0.33
q0.75_sex_predictor_female_mu_trans_rate_per_100_year,12.2
q0.75_sex_predictor_female_max_trans_rate_per_100_year,19.5
q0.75_sex_predictor_female_1000_trans_rate_per_100_year,2.4
q0.75_sex_predictor_female_200_trans_rate_per_100_year,0.53
q0.975_sex_predictor_female_mu_trans_rate_per_100_year,16.7
q0.975_sex_predictor_female_max_trans_rate_per_100_year,33.9
q0.975_sex_predictor_female_1000_trans_rate_per_100_year,7.1
q0.975_sex_predictor_female_200_trans_rate_per_100_year,2.8
q0.025_sex_predictor_female_max_v_mu_trans_rr,1.0
q0.025_sex_predictor_female_1000_v_mu_trans_rr,0.09
q0.025_sex_predictor_female_200_v_mu_trans_rr,0.02
q0.25_sex_predictor_female_max_v_mu_trans_rr,1.1
q0.25_sex_predictor_female_1000_v_mu_trans_rr,0.11
q0.25_sex_predictor_female_200_v_mu_trans_rr,0.02
q0.5_sex_predictor_female_max_v_mu_trans_rr,1.3
q0.5_sex_predictor_female_1000_v_mu_trans_rr,0.14
q0.5_sex_predictor_female_200_v_mu_trans_rr,0.03
q0.75_sex_predictor_female_max_v_mu_trans_rr,1.8
q0.75_sex_predictor_female_1000_v_mu_trans_rr,0.21
q0.75_sex_predictor_female_200_v_mu_trans_rr,0.04
q0.975_sex_predictor_female_max_v_mu_trans_rr,4.2
q0.975_sex_predictor_female_1000_v_mu_trans_rr,0.88
q0.975_sex_predictor_female_200_v_mu_trans_rr,0.34
q0.5_sex_predictor_female_max_v_mu_trans_rr_percent,133\\%
q0.5_sex_predictor_female_1000_v_mu_trans_rr_percent,14\\%
q0.5_sex_predictor_female_200_v_mu_trans_rr_percent,3\\%
q0.025_sex_predictor_female_extra_trans_rate_per_100_year,0.59
q0.25_sex_predictor_female_extra_trans_rate_per_100_year,0.9
q0.5_sex_predictor_female_extra_trans_rate_per_100_year,1.1
q0.75_sex_predictor_female_extra_trans_rate_per_100_year,1.3
q0.975_sex_predictor_female_extra_trans_rate_per_100_year,1.8
q0.5_sex_predictor_female_intra_extra_rr_parity,660
q50_sex_predictor_male_mu0,"12,597"
q0.025_sex_predictor_male_mu_trans_rate_per_100_year,11.0
q0.025_sex_predictor_male_max_trans_rate_per_100_year,11.2
q0.025_sex_predictor_male_1000_trans_rate_per_100_year,1.8
q0.025_sex_predictor_male_200_trans_rate_per_100_year,0.38
q0.25_sex_predictor_male_mu_trans_rate_per_100_year,13.2
q0.25_sex_predictor_male_max_trans_rate_per_100_year,13.6
q0.25_sex_predictor_male_1000_trans_rate_per_100_year,3.3
q0.25_sex_predictor_male_200_trans_rate_per_100_year,0.72
q0.5_sex_predictor_male_mu_trans_rate_per_100_year,14.5
q0.5_sex_predictor_male_max_trans_rate_per_100_year,15.1
q0.5_sex_predictor_male_1000_trans_rate_per_100_year,4.5
q0.5_sex_predictor_male_200_trans_rate_per_100_year,1.0
q0.75_sex_predictor_male_mu_trans_rate_per_100_year,15.8
q0.75_sex_predictor_male_max_trans_rate_per_100_year,16.8
q0.75_sex_predictor_male_1000_trans_rate_per_100_year,6.0
q0.75_sex_predictor_male_200_trans_rate_per_100_year,1.5
q0.975_sex_predictor_male_mu_trans_rate_per_100_year,18.4
q0.975_sex_predictor_male_max_trans_rate_per_100_year,20.8
q0.975_sex_predictor_male_1000_trans_rate_per_100_year,9.8
q0.975_sex_predictor_male_200_trans_rate_per_100_year,3.1
q0.025_sex_predictor_male_max_v_mu_trans_rr,1.0
q0.025_sex_predictor_male_1000_v_mu_trans_rr,0.14
q0.025_sex_predictor_male_200_v_mu_trans_rr,0.03
q0.25_sex_predictor_male_max_v_mu_trans_rr,1.0
q0.25_sex_predictor_male_1000_v_mu_trans_rr,0.22
q0.25_sex_predictor_male_200_v_mu_trans_rr,0.05
q0.5_sex_predictor_male_max_v_mu_trans_rr,1.0
q0.5_sex_predictor_male_1000_v_mu_trans_rr,0.3
q0.5_sex_predictor_male_200_v_mu_trans_rr,0.07
q0.75_sex_predictor_male_max_v_mu_trans_rr,1.1
q0.75_sex_predictor_male_1000_v_mu_trans_rr,0.43
q0.75_sex_predictor_male_200_v_mu_trans_rr,0.1
q0.975_sex_predictor_male_max_v_mu_trans_rr,1.4
q0.975_sex_predictor_male_1000_v_mu_trans_rr,0.73
