var,val
r1_minDate,"November 6, 1994"
r1_medianDate,"March 20, 1995"
r1_maxDate,"July 18, 1995"
r2_minDate,"January 12, 1995"
r2_medianDate,"January 9, 1996"
r2_maxDate,"May 1, 1996"
r3_minDate,"January 7, 1996"
r3_medianDate,"November 19, 1996"
r3_maxDate,"April 23, 1997"
r4_minDate,"June 6, 1997"
r4_medianDate,"November 20, 1997"
r4_maxDate,"May 12, 1998"
r5_minDate,"August 11, 1997"
r5_medianDate,"August 6, 1998"
r5_maxDate,"March 15, 1999"
r6_minDate,"April 6, 1999"
r6_medianDate,"September 7, 1999"
r6_maxDate,"February 9, 2000"
r7_minDate,"March 20, 2000"
r7_medianDate,"August 7, 2000"
r7_maxDate,"February 19, 2001"
r8_minDate,"April 3, 2001"
r8_medianDate,"October 23, 2001"
r8_maxDate,"May 31, 2002"
r9_minDate,"July 15, 2002"
r9_medianDate,"January 28, 2003"
r9_maxDate,"July 31, 2003"
r10_minDate,"September 26, 2003"
r10_medianDate,"April 23, 2004"
r10_maxDate,"November 23, 2004"
r11_minDate,"January 13, 2005"
r11_medianDate,"October 13, 2005"
r11_maxDate,"June 30, 2006"
r12_minDate,"March 31, 2006"
r12_medianDate,"June 28, 2007"
r12_maxDate,"April 24, 2008"
r13_minDate,"June 17, 2008"
r13_medianDate,"March 17, 2009"
r13_maxDate,"December 4, 2009"
r14_minDate,"January 18, 2010"
r14_medianDate,"September 24, 2010"
r14_maxDate,"June 21, 2011"
r15_minDate,"August 10, 2011"
r15_medianDate,"April 2, 2012"
r15_maxDate,"May 29, 2013"
r15.1_minDate,"July 30, 2012"
r15.1_medianDate,"September 20, 2012"
r15.1_maxDate,"March 18, 2013"
r16_minDate,"July 8, 2013"
r16_medianDate,"April 7, 2014"
r16_maxDate,"January 28, 2015"
r17_minDate,"February 23, 2015"
r17_medianDate,"November 3, 2015"
r17_maxDate,"September 2, 2016"
r18_minDate,"October 3, 2016"
r18_medianDate,"July 17, 2017"
r18_maxDate,"May 21, 2018"
r19_minDate,"June 19, 2018"
r19_medianDate,"June 20, 2019"
r19_maxDate,"November 4, 2020"
r20_minDate,"February 1, 2021"
r20_medianDate,"March 4, 2022"
r20_maxDate,"March 7, 2023"
r1_minYear,1994
r1_medianYear,1995
r1_maxYear,1995
r2_minYear,1995
r2_medianYear,1996
r2_maxYear,1996
r3_minYear,1996
