mu_0	omega_mu	sigma_0	omega_sigma	logit_fnr	fnr	logit_txr	txr	theta_tx	mu_tx	sigma_tx	theta_un_tx	mu_un_tx	sigma_un_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx
4.1135351	0.65657806	0.53426852	0.22517726	-3.2568174	0.037082685	-1.9235106	0.1274706	0.88579706	3.4628357	1.1487979	0.53456525	2.4926174	0.85040023	-6.7113079	-5.7710974	-2.012298	0.0012155918	0.0031066544	0.13368112	0.0094191628	0.01070248
4.1082247	0.64344205	0.5323191	0.25154339	-3.1145318	0.042511796	-1.9769338	0.12164608	0.8847588	3.3755992	1.1722819	0.63448049	2.6448827	0.7338131	-6.5589376	-10.612928	1.7386047	0.0014153846	2.4595358e-05	5.6893996	0.011320759	0.01967212
4.1138187	0.64471609	0.53856337	0.23816368	-3.3085167	0.03528017	-1.9838138	0.12091287	0.88556238	3.3256894	1.2035438	0.5126985	3.0223411	0.80010898	-6.3572986	-9.7307816	0.86483887	0.001731043	5.9422297e-05	2.3746234	0.0079537886	0.0034342321
4.1156116	0.63474727	0.54700857	0.25337476	-3.3190268	0.034924195	-1.9361562	0.12607075	0.88583093	3.4492269	1.1183245	0.58452249	2.8779557	0.94935807	-6.6901076	-6.0078545	-1.7504518	0.0012416055	0.0024533256	0.17369546	0.014314858	0.0056247521
4.1182667	0.63232355	0.54162748	0.25691867	-2.9478403	0.049838686	-2.0023601	0.11895535	0.88392498	3.3187045	1.1909832	0.46838419	2.5705632	0.90503796	-6.4986424	-8.6322972	-0.40372667	0.0015032186	0.00017822293	0.66782663	0.0059899161	0.01429565
4.1157578	0.65975169	0.54114363	0.2531557	-3.5202236	0.028742253	-1.861427	0.13453681	0.88931464	3.4359931	1.1792214	0.48759254	2.8277105	0.86369598	-6.7494523	-7.8167858	0.26705372	0.0011701503	0.00040275237	1.3061106	0.0068291412	0.011317835
4.0981711	0.65337205	0.5331036	0.28126598	-3.1986615	0.039216123	-2.0207129	0.11704529	0.88499851	3.4142829	1.1171979	0.48183879	2.5420615	0.93494805	-6.4891499	-9.2758324	-0.039874076	0.0015175341	9.3651876e-05	0.96091043	0.017694941	0.007540653
4.1120837	0.64409662	0.53245345	0.25460663	-3.3297035	0.034566122	-1.9411875	0.12551745	0.88474975	3.4602959	1.1551069	0.49197933	2.7273332	0.81879832	-6.4014668	-7.7180744	-1.0762069	0.0016563738	0.00044451843	0.34088609	0.0046085349	0.0068054214
4.1051316	0.65015743	0.53187435	0.25320392	-3.143928	0.041331202	-1.9986572	0.11934397	0.8862055	3.2954826	1.205409	0.55644875	2.9123472	0.77460108	-6.7423503	-8.3797983	0.056653586	0.0011784804	0.00022940359	1.0582891	0.011783695	0.01324784
4.1165908	0.66680539	0.53452279	0.19795519	-3.2652769	0.036781797	-1.9698913	0.12240056	0.88824537	3.4161162	1.1148439	0.52481292	3.0424874	0.60951048	-6.5119013	-8.391119	-0.4447226	0.0014834485	0.00022682179	0.64100207	0.011687672	0.0026075175
4.0965099	0.67608356	0.52535912	0.21163621	-3.1938067	0.039399454	-1.9778432	0.12154895	0.8827382	3.3981723	1.1838183	0.6182394	3.1769483	0.56963247	-6.2606657	-8.6149822	-0.68346804	0.0019063328	0.00018133515	0.50486307	0.01221543	0.0077095145
