mu_0	omega_mu	sigma_0	omega_sigma	logit_fnr	fnr	logit_txr	txr	theta_tx	mu_tx	sigma_tx	theta_un_tx	mu_un_tx	sigma_un_tx	est_param1	est_param2	est_param3	use_param3	mean_use_param1	mean_use_param2	mean_use_param3	sex1_use_param1	sex1_use_param2	sex1_use_param3	sex2_use_param1	sex2_use_param2	sex2_use_param3	beta_extra	beta_tx
4.0943385	0.6735922	0.51727573	0.2907398	-3.4366427	0.031169709	-1.8888772	0.13137255	0.88449017	3.4506002	1.1718737	0.54981978	3.0211724	0.73483857	-6.229699	-9.1283047	-1.8587091	1.0	0.0019369505	0.00012007315	1.0	0.0020508601	8.7220735e-05	1.0	0.0018849732	0.00013506382	1.0	0.0090684537	0.0018447278
4.1114676	0.67335952	0.50624945	0.27825546	-3.340633	0.034203241	-1.8983189	0.13029887	0.88746411	3.4954112	1.1256995	0.58487062	3.1855604	0.71959646	-6.9216191	-7.5314563	1.6985665	1.0	0.001056288	0.00062317872	1.0	0.00084068625	0.00039435219	1.0	0.0011546678	0.00072759303	1.0	0.013993784	0.018240804
4.1075539	0.67023527	0.51042436	0.28213374	-3.2010971	0.039124458	-1.9915385	0.12009419	0.8826755	3.3135178	1.2510247	0.55872743	3.038392	0.59936007	-6.0452	-9.6061515	-1.3846816	1.0	0.0022708461	0.00010391106	1.0	0.0026810592	3.3276495e-05	1.0	0.0020836645	0.00013614185	1.0	0.0086315244	0.001104346
4.1147865	0.68422169	0.51080048	0.27938812	-3.5394703	0.028209806	-1.9282173	0.12694803	0.88638175	3.3712237	1.1177248	0.61454408	3.0940116	0.65644499	-6.5686383	-8.6370961	1.3992462	1.0	0.0013393846	0.0003211195	1.0	0.0016252058	7.2373686e-05	1.0	0.0012089635	0.00043462306	1.0	0.0167933	0.0048020608
4.113037	0.67349793	0.51971274	0.27657644	-3.3010714	0.035534452	-2.0301406	0.1160745	0.88187046	3.3281091	1.2683314	0.56280689	3.0575779	0.65746983	-6.0675423	-9.4739188	-1.1915567	1.0	0.0021441051	0.00010537896	1.0	0.0034613555	4.4289449e-05	1.0	0.0015430394	0.00013325432	1.0	0.0078585685	0.01628063
4.1147051	0.66578857	0.52604129	0.26866442	-3.7038905	0.024035589	-1.8939277	0.13079728	0.88338818	3.5312893	1.1197796	0.50075592	2.8616155	0.68790855	-6.7789213	-7.2776129	-0.4022409	1.0	0.0013508591	0.00096884415	1.0	0.000807313	0.0027068053	1.0	0.001598881	0.00017580662	1.0	0.013009043	0.014916312
4.0980255	0.65091661	0.52867228	0.26821153	-3.4126673	0.031901918	-1.8480597	0.13610087	0.89092359	3.3269257	1.1421615	0.56155114	3.1144032	0.89960323	-7.2801035	-6.929702	-0.30821966	1.0	0.000883509	0.00098369727	1.0	0.00043590327	0.00096081969	1.0	0.001087753	0.00099413638	1.0	0.0073514488	0.0054010365
4.0970858	0.65691599	0.52770545	0.26412722	-3.4961387	0.029422297	-1.8924409	0.13096641	0.889786	3.323593	1.1612211	0.53842647	3.0772855	0.90873616	-7.1675585	-7.2815573	-0.62011272	1.0	0.00092323624	0.00076590524	1.0	0.00054094201	0.00054577233	1.0	0.0010976784	0.00086635263	1.0	0.0069153747	0.0034697171
4.0952174	0.68199034	0.50788343	0.24936503	-3.6259757	0.0259327	-1.8539763	0.1354067	0.88249413	3.3831579	1.1183485	0.52621309	3.1135445	0.70738359	-6.2272057	-9.0303991	0.59506953	1.0	0.0018376179	0.00019547268	1.0	0.0026389893	5.5216345e-05	1.0	0.0014719495	0.00025947211	1.0	0.016720822	0.0015726366
4.0813605	0.67343208	0.52347198	0.23888243	-3.6517011	0.025290737	-1.8909172	0.13113993	0.88993602	3.3675375	1.1178939	0.5364492	3.0308767	0.84955682	-6.7035593	-8.4154477	-0.65713386	1.0	0.0012349229	0.00025686996	1.0	0.0011995484	0.00016367839	1.0	0.0012510643	0.00029939359	1.0	0.0073029036	0.021372983
4.1253693	0.64839474	0.51533411	0.28883722	-3.2292623	0.038079259	-1.9929481	0.11994532	0.88511605	3.3047486	1.26335	0.51279945	2.9629776	0.8407934	-6.2777379	-8.9714032	-1.2856445	1.0	0.0018027264	0.00021556169	1.0	0.0021162198	5.5894033e-05	1.0	0.0016596784	0.00028841858	1.0	0.0092689747	0.020903014
4.1175827	0.65528325	0.51331129	0.32698128	-3.1919267	0.03947067	-1.9634505	0.12309411	0.88828832	3.5086967	1.116877	0.54113864	2.8953727	0.87218241	-6.6100031	-8.6760003	1.0913563	1.0	0.0013110199	0.00022739224	1.0	0.0014500536	0.0001023108	1.0	0.0012475784	0.00028446733	1.0	0.0099171364	0.0034716458
4.1006292	0.66421928	0.51576155	0.31596852	-3.462754	0.030390776	-1.8785664	0.13255363	0.88452602	3.3185475	1.1599997	0.55347971	3.0249539	0.56004436	-6.5344551	-8.793578	-1.6118933	1.0	0.0014323678	0.00019084842	1.0	0.0015020039	9.8804836e-05	1.0	0.0014005927	0.00023284821	1.0	0.0085951628	0.0034487636
4.1025436	0.65342705	0.52022561	0.29164417	-3.3475779	0.033974569	-2.0086307	0.11829972	0.88798269	3.395116	1.1015647	0.5551171	2.9450772	0.89505775	-6.5442789	-8.2489667	0.50257837	1.0	0.0013827702	0.00068028532	1.0	0.0016163918	7.1310261e-05	1.0	0.0012761679	0.00095816268	1.0	0.010614099	0.0059255892
4.1010594	0.63368322	0.52885173	0.31050885	-3.0460379	0.045388837	-2.0257388	0.11652689	0.88183127	3.3759806	1.160342	0.51964814	2.6311486	0.76279837	-6.5958282	-8.095814	-0.48931019	1.0	0.001552454	0.00028303644	1.0	0.00104236	0.00047438098	1.0	0.0017852116	0.00019572529	1.0	0.012419803	0.0050877691
4.1029643	0.64685151	0.52572354	0.30260631	-3.3872222	0.032697196	-1.9259766	0.12719658	0.89159388	3.4332432	1.1129191	0.50572265	2.8739635	0.68394585	-6.3659625	-8.7783672	0.72296919	1.0	0.0015924444	0.00027684484	1.0	0.0026132229	6.3364736e-05	1.0	0.0011266598	0.00037425653	1.0	0.008691095	0.012180151
4.120606	0.65387741	0.51004856	0.32031522	-3.3369769	0.03432422	-1.935823	0.12610746	0.88260344	3.4704935	1.1040181	0.610254	3.1321168	0.80090764	-6.4492675	-9.3426121	-0.29616072	1.0	0.0014899134	0.00024525568	1.0	0.0019441368	2.2106555e-05	1.0	0.0012826497	0.00034707938	1.0	0.011639391	0.0098305666
4.1004604	0.66006814	0.52885946	0.2713407	-3.250397	0.037312623	-1.9840122	0.12089179	0.88720114	3.3811454	1.1730174	0.54351217	2.8690496	0.73582062	-6.1441249	-9.0809481	0.46526821	1.0	0.0020451259	0.00014973707	1.0	0.0024881855	6.949316e-05	1.0	0.0018429563	0.00018635263	1.0	0.0093738651	0.01158211
4.1017686	0.66438788	0.52183295	0.30581503	-3.3416563	0.034169455	-2.0390171	0.11516685	0.88644623	3.4416813	1.1709245	0.5082496	2.8315405	0.81370166	-6.2711404	-9.3849328	-0.50610549	1.0	0.0017618663	0.00010988217	1.0	0.0024854188	5.1680721e-05	1.0	0.0014317068	0.00013643968	1.0	0.0092608533	0.019586013
4.1160547	0.65105	0.52384686	0.26451789	-3.3155226	0.035042495	-1.9850705	0.12077936	0.88896356	3.3785481	1.1641033	0.5191114	2.9609763	0.76975871	-6.9303002	-7.8408003	0.57368097	1.0	0.0010422656	0.00037603959	1.0	0.00084132393	0.00045424747	1.0	0.001133956	0.00034035308	1.0	0.015383483	0.019655855
4.0882549	0.67896938	0.51688691	0.26175084	-3.3581207	0.033630247	-1.9329658	0.12642267	0.88555917	3.3649781	1.1773945	0.53265442	2.9838272	0.7281679	-6.1837724	-9.0550236	-0.49002008	1.0	0.0019457409	0.00019052929	1.0	0.002508272	5.3938615e-05	1.0	0.0016890561	0.00025285607	1.0	0.0073110232	0.0055975902
4.0946237	0.67105463	0.50819152	0.25214461	-3.284281	0.036114396	-1.9605469	0.12340787	0.88132444	3.3140076	1.1882795	0.5384847	3.0831203	0.79291631	-6.3194293	-9.4319891	1.1513433	1.0	0.0016969194	0.00012913126	1.0	0.0022073946	3.7548536e-05	1.0	0.0014639878	0.00017092076	1.0	0.0070359036	0.0090570095
4.1116607	0.64568425	0.528189	0.28434355	-3.2467571	0.03744359	-1.9256087	0.12723743	0.888577	3.3404748	1.1710842	0.52693552	3.040497	0.77535781	-6.2986893	-9.0635763	-1.1490118	1.0	0.0017799729	0.00018575069	1.0	0.0020121718	5.459087e-05	1.0	0.0016740198	0.00024559936	1.0	0.0084279737	0.0063787215
4.1055379	0.66427423	0.51026983	0.28102531	-3.3321761	0.034483704	-1.9327446	0.1264471	0.88999551	3.3713344	1.1849337	0.52252654	3.0308038	0.68337309	-6.6426848	-8.5322867	-0.28245077	1.0	0.0013834213	0.00018763796	1.0	0.0011307841	0.0002313425	1.0	0.0014987005	0.00016769543	1.0	0.0083033411	0.00096257617
4.1075157	0.66314329	0.52115611	0.27166581	-3.2958085	0.035715263	-1.9125542	0.12869418	0.88223172	3.4320172	1.1100861	0.57823409	3.0140425	0.77696389	-6.7039893	-7.858728	-0.0025913924	1.0	0.001266851	0.00057647693	1.0	0.001126696	0.00019921434	1.0	0.0013308043	0.00074862312	1.0	0.011629052	0.016242929
4.1186103	0.66713897	0.50461375	0.27252575	-3.086191	0.043680469	-1.9757612	0.12177142	0.88919966	3.3488237	1.1579638	0.61015988	3.2779541	0.63992693	-6.5011194	-8.8835515	-0.019573626	1.0	0.0014221672	0.00019259713	1.0	0.0017972901	7.8557665e-05	1.0	0.0012509973	0.00024463372	1.0	0.0089933886	0.0024280314
4.0882965	0.67033296	0.52859428	0.25887087	-3.3074695	0.03531583	-1.924412	0.12737038	0.88594363	3.3622284	1.1526845	0.51046303	3.0594282	0.93532899	-6.7405785	-8.5565686	0.0089863539	1.0	0.0013181836	0.00018952504	1.0	0.00093281143	0.00020008053	1.0	0.0014940302	0.00018470853	1.0	0.010191525	0.0017325436
4.0917185	0.67386336	0.52829207	0.2624318	-3.4135718	0.031873994	-1.9355385	0.12613881	0.88509577	3.3405765	1.1616479	0.49037418	3.0036454	0.84662306	-6.6510467	-8.6212893	0.19178504	1.0	0.0013446284	0.00022120118	1.0	0.0011702404	0.00012181246	1.0	0.0014242021	0.00026655259	1.0	0.0099924522	0.0011014773
4.1303365	0.66906803	0.52249604	0.25813712	-3.2773811	0.036355353	-1.9126957	0.12867831	0.88361314	3.3804413	1.1906589	0.52989663	2.6487317	0.87102148	-6.2901255	-9.081657	0.48936216	1.0	0.0017327476	0.0001738963	1.0	0.0023948096	5.6895865e-05	1.0	0.0014306465	0.00022728399	1.0	0.012178777	0.010643175
4.095443	0.65777985	0.54320434	0.25045479	-3.4015725	0.032246357	-2.0227857	0.11683125	0.88528477	3.3981218	1.1204215	0.49776784	3.1036374	0.84988941	-6.6008734	-8.8628358	-0.47656588	1.0	0.0013244784	0.0002708531	1.0	0.001458147	5.4172043e-05	1.0	0.0012634849	0.0003697254	1.0	0.010351609	0.0099539036
