mu_0	omega_mu	sigma_0	omega_sigma	logit_fnr	fnr	logit_txr	txr	theta_tx	mu_tx	sigma_tx	theta_un_tx	mu_un_tx	sigma_un_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx
4.0928895	0.63252201	0.51487649	0.26784805	-3.2285691	0.038104658	-1.9579835	0.12368544	0.88551055	3.3574785	1.1553504	0.56686407	2.3772523	1.0003699	-6.7005588	-7.471071	-0.42203966	0.0012287127	0.00056899428	1.0	0.0045208961	0.004372555
4.1259671	0.66098385	0.53456291	0.24179605	-3.2311896	0.038008727	-1.9812772	0.12118275	0.88047329	3.2583645	1.1851512	0.45190325	2.6237133	0.81936473	-6.369741	-8.7712324	0.31847125	0.0017096748	0.00015510822	1.0	0.0081216709	0.017085957
4.1277721	0.63879292	0.53388438	0.25220268	-3.2154231	0.038589431	-2.0051249	0.11866589	0.88824539	3.4005905	1.128375	0.61476916	2.973553	0.81119628	-6.6052233	-7.427049	0.18987154	0.001351452	0.00059458687	1.0	0.002850899	0.0022420372
4.1131121	0.64270343	0.54128145	0.26753329	-3.2556685	0.03712373	-1.9204566	0.12781066	0.88070843	3.3662875	1.1316499	0.62273096	2.9577024	0.57590096	-6.5722253	-8.2478311	0.49763704	0.0013967279	0.00026175728	1.0	0.0092570719	0.0027573515
4.1170778	0.64173982	0.53812272	0.22821747	-3.3340792	0.034420399	-1.9560446	0.12389575	0.88773682	3.4379327	1.1670107	0.5206687	3.0923772	0.63520247	-6.6273819	-7.4551648	-1.1643911	0.0013218743	0.0005781119	1.0	0.0051217346	0.004927254
4.1190842	0.65551219	0.54458131	0.23888297	-3.3406134	0.034203888	-1.9279602	0.12697653	0.88542101	3.4736156	1.1296614	0.54932303	2.9534768	0.90132419	-6.5455465	-8.0307249	1.7168324	0.0014344382	0.0003252065	1.0	0.0087886582	0.017155748
4.1206376	0.63087471	0.53238066	0.26329787	-3.1586863	0.040750375	-1.9914331	0.12010533	0.88807572	3.3943355	1.1643644	0.49241688	3.212757	0.62434383	-6.4567191	-8.2211181	-1.9189816	0.0015674773	0.00026884193	1.0	0.0013841141	0.0013966042
4.1179751	0.62449704	0.52908973	0.2619871	-3.1684584	0.040370095	-1.9851262	0.12077345	0.88655886	3.3917232	1.1568309	0.52685246	3.2104633	0.66341648	-6.4874191	-8.5321184	-2.043663	0.0015201589	0.00019699831	1.0	0.0022690826	0.0012415973
4.1154274	0.63427754	0.52098324	0.26529923	-3.2675737	0.03670051	-1.9275287	0.12702437	0.88703857	3.4578591	1.1128434	0.59175175	3.059851	0.59122421	-6.6070696	-8.6897619	1.0531564	0.0013489626	0.00016827178	1.0	0.0068481167	0.018001984
4.1061082	0.6566328	0.51618751	0.27172179	-3.1519214	0.041015638	-2.0224946	0.11686129	0.88682575	3.4368388	1.1475028	0.54099288	2.969029	0.75484064	-6.2129819	-8.8116682	-2.1646099	0.00199925	0.00014896233	1.0	0.0020270115	0.0037836391
4.1418652	0.66684773	0.52481729	0.23891455	-3.2965351	0.035690247	-1.938134	0.125853	0.88452364	3.3703296	1.1315464	0.52581068	3.1390352	0.66862593	-6.7758586	-6.4407728	1.7328226	0.00113969	0.0015926329	1.0	0.0018529889	0.0039161155
4.0893538	0.66370004	0.50719338	0.26765665	-3.2047796	0.038986254	-1.9684311	0.1225575	0.88477232	3.3854754	1.1239423	0.50903337	2.9295101	0.6319351	-6.5925283	-7.5892972	1.5846113	0.0013686944	0.0005055807	1.0	0.003312721	0.003118347
4.0900479	0.68213928	0.50964734	0.23094076	-3.4570245	0.030560062	-1.8954601	0.13062317	0.88482381	3.3790367	1.1768666	0.53180095	2.9383199	0.73609124	-6.7012302	-8.1078393	0.9862451	0.001227889	0.00030107822	1.0	0.0074682712	0.0029751286
4.110708	0.6756185	0.51646261	0.24915049	-3.2179946	0.038494141	-1.9674075	0.12266762	0.88491379	3.4921087	1.0643102	0.48284443	2.8472861	0.73745862	-6.5083094	-8.1389643	0.32358134	0.0014887785	0.0002918542	1.0	0.0036196698	0.021975762
4.119439	0.67406651	0.5083485	0.25612278	-3.3009648	0.035538106	-1.9672577	0.12268374	0.89146358	3.3814798	1.1929016	0.54982533	2.8557338	0.84375905	-6.2731461	-9.3742005	-0.09687456	0.0018827335	8.487887e-05	1.0	0.0093955734	0.0021158923
4.1085949	0.67073682	0.51575442	0.27842028	-3.2364932	0.037815279	-1.9927311	0.11996823	0.88812628	3.3420893	1.134771	0.4735001	2.8102313	0.79639933	-6.4112229	-8.2202467	0.80980889	0.0016403189	0.00026907624	1.0	0.0070625429	0.005857244
4.1017163	0.66890204	0.51368438	0.23954187	-3.0993966	0.043132153	-1.9490101	0.12466134	0.88297585	3.3542403	1.1389	0.58280007	2.8487055	0.67219396	-6.6983969	-8.2534375	-0.52270292	0.0012313687	0.00026029425	1.0	0.0049962946	0.0070220728
4.1203972	0.67959036	0.51052823	0.25440176	-3.6739883	0.024747105	-1.8783211	0.13258183	0.89085125	3.4938431	1.0973577	0.56033847	3.2433274	0.6642798	-6.313261	-8.6609744	0.91613166	0.0018088365	0.00017318544	1.0	0.0012541674	0.0043926498
4.1025106	0.69674382	0.51430842	0.25568083	-3.7319139	0.023386914	-1.8773151	0.13269758	0.88700003	3.4748402	1.1415311	0.5714366	3.1153148	0.54889547	-6.3055809	-8.6163223	-0.75609412	0.0018227566	0.00018109235	1.0	0.0050491975	0.0094611315
4.0964393	0.6785176	0.52780015	0.25833301	-3.0059131	0.047159455	-2.0795914	0.11109631	0.88465776	3.3609654	1.1418684	0.55887574	2.8665073	0.67104582	-6.6928776	-6.9141008	-0.8220623	0.0012381752	0.0009926882	1.0	0.0016600943	0.012286884
