mu_0	omega_mu	sigma_0	omega_sigma	logit_fnr	fnr	logit_txr	txr	theta_tx	mu_tx	sigma_tx	theta_un_tx	mu_un_tx	sigma_un_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx
4.1252802	0.64473115	0.53714198	0.23379731	-3.185434	0.039717563	-1.915326	0.12838368	0.88905107	3.2917115	1.2419986	0.55564354	2.8556653	0.68158911	-6.368014	-8.8646154	-0.31172501	0.0017126248	0.00014128144	1.0	0.0066868608	0.00039099417
4.0782483	0.65536866	0.53933401	0.22514345	-3.2760948	0.036400446	-1.9726102	0.1221088	0.88112456	3.3884096	1.161212	0.61988238	3.1295824	0.69450002	-6.2046766	-9.5436603	1.2029398	0.00201589	7.1648955e-05	1.0	0.018211454	0.0095434875
4.0946667	0.66122801	0.52045987	0.2350945	-3.3656662	0.033385882	-1.8813806	0.13223038	0.89050239	3.3748813	1.188359	0.52537505	3.0434757	0.59247866	-6.2387205	-8.248117	-0.42874111	0.0019485477	0.00026168247	1.0	0.010460282	0.00078007283
4.093641	0.65941832	0.52079008	0.23645338	-3.3548003	0.033738323	-1.8873752	0.13154404	0.89141009	3.3841401	1.1828681	0.50482869	2.9954985	0.57141227	-6.2858424	-8.1775274	-0.67497497	0.0018590248	0.00028081675	1.0	0.010275784	0.00054411975
4.1129541	0.67488204	0.52068794	0.20987668	-3.5054962	0.029156251	-1.9388803	0.12577092	0.88207379	3.421461	1.0984985	0.60862297	2.8764932	0.81348526	-6.2010104	-8.6575977	0.33452771	0.0020232791	0.00017377112	1.0	0.012382532	0.0052506576
4.1215553	0.64808897	0.52712924	0.232971	-3.2710565	0.036577581	-1.9421987	0.12540651	0.88717258	3.2659653	1.2204884	0.46874746	2.9166229	0.59040676	-6.2447825	-8.4279565	-0.064495788	0.0019367941	0.00021862009	1.0	0.008384066	0.0034310813
4.1105561	0.66017009	0.52431071	0.24574023	-3.312972	0.035128844	-1.9670474	0.12270638	0.88938815	3.2806764	1.2279539	0.54567231	3.0545499	0.74173079	-6.4492752	-8.50902	-0.97822162	0.0015791705	0.00020160069	1.0	0.010346106	0.0024253962
4.1143499	0.65783439	0.53093354	0.22505002	-3.2949917	0.035743403	-1.8750648	0.13295677	0.87519395	3.217338	1.2647824	0.50190413	2.8664631	0.76597866	-6.4838323	-8.0583298	0.25151387	0.0015256128	0.00031635478	1.0	0.016050782	0.0042923827
4.0937363	0.67667979	0.52885987	0.22134889	-3.3305265	0.034538668	-2.0382705	0.11524296	0.88702995	3.3335494	1.1939715	0.53031689	2.722074	0.95894614	-6.2117095	-9.3851314	1.1433417	0.0020017904	8.3956198e-05	1.0	0.0083877787	0.0013659492
4.1270035	0.67947659	0.53768302	0.23391824	-3.5095668	0.029041249	-1.9578823	0.12369641	0.88375157	3.4525245	1.1144733	0.51531253	3.0883455	0.90663176	-6.2954032	-9.3529949	-0.23553332	0.0018413684	8.6697841e-05	1.0	0.015807739	0.0021642929
4.1242169	0.66112546	0.53839315	0.23989466	-3.4715565	0.03013246	-1.8943367	0.13075079	0.88566154	3.467491	1.1226704	0.54516574	2.8997421	0.71067048	-6.1056131	-9.5977619	0.31968787	0.0022253502	6.787588e-05	1.0	0.013025394	0.0022581518
4.1257985	0.67852641	0.51252465	0.22978415	-3.1704409	0.040293361	-1.9744142	0.12191555	0.88874539	3.3924103	1.1281064	0.54746888	2.9913188	0.60479907	-6.2718719	-9.1992989	0.21277983	0.0018851293	0.00010110005	1.0	0.010692155	0.0058134916
