mu_0	omega_mu	sigma_0	omega_sigma	logit_fnr	fnr	logit_txr	txr	theta_tx	mu_tx	sigma_tx	theta_un_tx	mu_un_tx	sigma_un_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx
4.1141591	0.64748653	0.53103732	0.24142718	-3.1350419	0.041684731	-2.0223207	0.11687923	0.88855096	3.3882317	1.1714711	0.60390539	3.0586646	0.60209164	-6.7513148	-9.0252453	-0.10469806	0.0011679754	0.0001203188	1.0	0.019630102	0.015685159
4.1215951	0.64396925	0.53524281	0.24279405	-3.2997919	0.03557833	-1.9135109	0.12858693	0.88382371	3.4086585	1.1222293	0.54356309	3.0289607	0.65512023	-6.3993051	-8.1921442	0.36695753	0.0016599523	0.00027674309	1.0	0.0098450721	0.0025994762
4.12766	0.65184093	0.52811694	0.24667638	-3.3225013	0.034807277	-1.8781903	0.13259687	0.8843166	3.4419266	1.1270891	0.52716	3.096664	0.78796667	-6.7417787	-9.2653684	0.30992418	0.0011791534	9.4636905e-05	1.0	0.011048522	0.0040259525
4.1172229	0.64499016	0.53011802	0.26406488	-3.382474	0.032847707	-1.8769958	0.13273433	0.8804221	3.303659	1.1824888	0.59189629	3.0129203	0.68298655	-6.4652864	-8.4140031	-0.19317669	0.0015541263	0.00022169128	1.0	0.01296695	0.0027525644
4.1293286	0.66698201	0.52323112	0.26512267	-3.2860504	0.036052855	-1.959859	0.1234823	0.88966919	3.3797385	1.1878664	0.49260735	3.0364824	0.64868114	-6.3597021	-9.3319404	-1.1800705	0.0017268947	8.854241e-05	1.0	0.014694494	0.0013933414
4.1099966	0.67718794	0.51927338	0.20957028	-3.0233443	0.046382328	-1.9949415	0.11973505	0.88241478	3.3953611	1.1291289	0.63702808	3.1781499	0.61248055	-6.3901265	-9.2356719	1.618245	0.0016752327	9.748916e-05	1.0	0.014153382	0.021253306
4.1197422	0.66108423	0.53461069	0.23738182	-3.3985427	0.032341041	-2.0178747	0.11733893	0.88886303	3.3809228	1.1897778	0.5214472	2.9952059	0.59629615	-6.6695928	-8.7550619	0.032299991	0.0012673073	0.00015763638	1.0	0.016736908	0.0023557051
4.0975902	0.66495869	0.53716003	0.23556903	-3.1956163	0.039331023	-1.8853588	0.13177456	0.8801951	3.4003152	1.1261578	0.59276496	3.1601178	0.67503898	-6.4734963	-8.7178848	-1.644173	0.0015414389	0.00016360617	1.0	0.011943547	0.022961855
4.1108644	0.67516054	0.53981734	0.25888103	-3.4259977	0.031492777	-2.0030564	0.11888239	0.88697145	3.4116884	1.1572804	0.54858584	2.9327588	0.60715991	-6.5704701	-8.9099266	0.61260445	0.0013991782	0.00013502352	1.0	0.011247662	0.0019467258
4.0967404	0.65777311	0.52195094	0.26494166	-3.2707774	0.036587416	-1.8679538	0.13377866	0.8854315	3.4308432	1.1169136	0.54606499	3.0393349	0.85027761	-6.8398621	-7.6168988	-0.039004135	0.0010691068	0.00049182345	1.0	0.012165762	0.0091986249
4.1029616	0.66365517	0.52815362	0.29656164	-3.3111031	0.035192247	-1.8916198	0.13105989	0.8864008	3.4362105	1.1347233	0.5786716	2.9773946	0.8433799	-6.9323411	-8.1636442	-0.21865536	0.00097476289	0.00028474146	1.0	0.011860725	0.0099882964
4.1008451	0.67163038	0.52258702	0.25875576	-3.4721963	0.030113768	-1.971301	0.12224922	0.89204839	3.4194714	1.1369963	0.57349288	3.0443471	0.63594389	-6.5197694	-8.2014448	0.27986881	0.0014718395	0.00027418183	1.0	0.011023471	0.0038307857
4.0971824	0.66253071	0.52411415	0.24799435	-3.3935819	0.032496649	-1.9456083	0.12503302	0.88977534	3.478273	1.1045275	0.49754111	3.1629302	0.62633081	-6.5519702	-8.5848492	0.73225356	0.0014252665	0.00018688145	1.0	0.015467	0.0081515929
4.103794	0.65749887	0.5152076	0.26843771	-3.3128077	0.035134414	-1.9335767	0.12635522	0.8856556	3.4058906	1.151438	0.5732804	2.9429854	0.74127423	-6.4517705	-9.5942855	-0.47938609	0.0015752411	6.8112241e-05	1.0	0.015622174	0.0073482953
4.0982402	0.66210783	0.52376712	0.27289929	-3.282379	0.036180665	-1.9931355	0.11992553	0.88385095	3.3647479	1.1554193	0.54441754	3.1982848	0.54467276	-6.317315	-8.8696534	0.22806781	0.0018015315	0.00014057154	1.0	0.012903468	0.0051115598
4.1200035	0.66930596	0.52013312	0.25846833	-3.1844865	0.039753717	-1.9119638	0.12876039	0.88666759	3.4491546	1.1330567	0.58540935	3.1344785	0.64468804	-6.0773266	-9.6507506	1.0941842	0.0022890503	6.4373082e-05	1.0	0.021226702	0.012578939
4.1054675	0.66748512	0.5155696	0.28977907	-3.3747075	0.033095337	-1.9058272	0.12945037	0.88494125	3.3421409	1.1085557	0.50428446	3.0394775	0.6800452	-6.4547052	-8.4546267	-0.91516806	0.0015706323	0.00021286773	1.0	0.011742	0.0075842029
4.1068417	0.65695466	0.51178011	0.302487	-3.3319547	0.034491077	-1.9393193	0.12572266	0.88488199	3.321388	1.1042688	0.51753328	2.9795207	0.73568068	-6.6049041	-9.0267125	-1.5118307	0.0013518829	0.00012014243	1.0	0.011256914	0.012081368
4.1011777	0.65846662	0.51923008	0.27339011	-3.1858436	0.039701944	-1.9755788	0.12179093	0.88934725	3.3860343	1.2032596	0.63439639	2.9364624	0.68585432	-6.5750618	-8.5609598	-1.2212564	0.0013927772	0.00019139883	1.0	0.0164904	0.0020315991
4.1010325	0.66456759	0.51707102	0.27024428	-3.133392	0.041750689	-2.0014164	0.11905429	0.88874205	3.5014298	1.0083443	0.50157968	2.6970431	0.86825973	-6.2219519	-8.7714912	2.4560279	0.0019814323	0.00015506809	1.0	0.012703681	0.00036893776
4.1059779	0.65417803	0.52190938	0.26718901	-3.2540586	0.03718132	-1.8843052	0.13189515	0.88984073	3.5196536	1.0886291	0.53913801	2.7766365	0.76611221	-6.6221891	-8.6629741	1.6118946	0.0013287472	0.00017283953	1.0	0.013752795	0.0055013633
4.1119046	0.66915676	0.53012682	0.26639643	-3.3502838	0.033885872	-1.995379	0.11968895	0.88502423	3.4249461	1.1271478	0.4879776	2.8068698	0.92461358	-6.8228477	-8.3157178	-1.5102492	0.0010874326	0.00024458138	1.0	0.013779409	0.0023317238
4.1175905	0.6740925	0.50998686	0.26089612	-3.1872874	0.039646934	-1.9368999	0.12598883	0.88250006	3.3381539	1.1724088	0.49241908	2.7364025	0.75766246	-6.4881955	-9.0488211	-0.53280085	0.0015189808	0.00011751569	1.0	0.016508983	0.00072029051
4.1118432	0.67848762	0.50844031	0.27330298	-3.259028	0.037003831	-2.0372662	0.1153454	0.87852004	3.3124394	1.1776794	0.55203634	2.6751101	0.80266072	-6.5664252	-8.6778612	1.1650529	0.0014048411	0.00017028595	1.0	0.012622291	0.00043046235
4.1234122	0.68957981	0.51369006	0.2685038	-3.3558648	0.033703637	-2.0292567	0.11616522	0.87668976	3.3287449	1.1705232	0.56679267	2.7249785	0.79578855	-6.5282142	-8.7649703	0.81101143	0.0014594804	0.00015608242	1.0	0.010322525	0.00042709681
4.1160218	0.67549434	0.50380761	0.24005432	-3.0984458	0.043171411	-1.9456966	0.12502336	0.88279401	3.3313665	1.1834354	0.4773896	2.7444274	0.89106916	-6.6022852	-8.6954736	-0.6774339	0.0013554232	0.00016731355	1.0	0.010625716	0.0019015508
4.1242494	0.68240339	0.50486934	0.23920352	-3.3297484	0.034564627	-1.9650069	0.12292621	0.88644969	3.3077546	1.1683106	0.46469734	2.8775641	0.76047369	-6.5692636	-9.1253111	-0.73067273	0.0014008649	0.00010886304	1.0	0.0084054281	0.0058727996
4.1133812	0.67572126	0.50767868	0.23679797	-3.1549998	0.040894725	-2.0228807	0.11682144	0.88644011	3.3610689	1.1441943	0.52896968	2.7111139	0.92515513	-6.3480806	-8.6284316	-0.9179686	0.0017470455	0.00017891307	1.0	0.010592356	0.0051963151
4.1063255	0.68805031	0.50289243	0.23847148	-3.3952503	0.032444235	-1.8954874	0.13062007	0.87908062	3.3393035	1.2202189	0.48869201	2.8594757	0.79354259	-6.597783	-8.3674811	-0.047354015	0.001361531	0.00023224602	1.0	0.012646503	0.011243641
4.0979046	0.68571772	0.52554204	0.23094541	-3.2540998	0.037179847	-1.94354	0.12525946	0.88006316	3.2742042	1.2138246	0.4977378	3.0750392	0.76150206	-6.9476062	-7.7482696	-1.5327409	0.00096001015	0.00043130245	1.0	0.013790576	0.015218345
4.1100684	0.67555227	0.51523393	0.22855885	-3.5052825	0.029162301	-1.8311249	0.13810432	0.88686193	3.4366305	1.1515374	0.56014828	3.0170567	0.65906392	-6.7575835	-7.401803	1.3120797	0.0011606851	0.00060977964	1.0	0.019062508	0.0039899251
4.1066827	0.68040043	0.50688898	0.24743674	-3.649763	0.025338557	-1.8647779	0.13414712	0.88395011	3.3490998	1.1496935	0.51588678	3.1514821	0.60802827	-6.2186377	-9.6738597	-0.71308887	0.0019879971	6.2902626e-05	1.0	0.015186067	0.017759059
4.1073129	0.67291494	0.51063524	0.25422967	-3.6483602	0.025373222	-1.8775564	0.1326698	0.88362495	3.3518387	1.1620232	0.5485103	3.1192119	0.63037522	-6.1858637	-9.1739931	-0.76071767	0.0020540951	0.00010369083	1.0	0.015915485	0.013231273
4.115678	0.6869935	0.49992644	0.25085123	-3.6122385	0.026281973	-1.8397484	0.13708105	0.88412297	3.3452851	1.1675049	0.55955843	3.081092	0.57650182	-6.4218478	-9.6006708	-1.1150684	0.0016230112	6.7678736e-05	1.0	0.015988154	0.0061713924
4.1080455	0.66574545	0.52774114	0.26723463	-3.2471874	0.037428084	-1.9648838	0.12293948	0.88901233	3.509978	1.0807077	0.5504936	3.1152026	0.61758807	-6.7346927	-8.8272512	1.1484537	0.0011875286	0.00014665937	1.0	0.012585361	0.0082229473
4.114171	0.6609677	0.52379239	0.29548797	-3.3947262	0.032460692	-2.0017872	0.11901541	0.88683079	3.4913181	1.1033586	0.51029889	2.9382798	0.58737201	-6.4670215	-9.1898807	0.19291124	0.0015514363	0.00010205662	1.0	0.01064598	0.01776154
4.1159411	0.66734703	0.52416597	0.27654878	-3.249396	0.037348596	-1.9733596	0.12202849	0.89058306	3.3840602	1.1182958	0.61712835	3.0230728	0.80287497	-6.6044953	-9.2865086	0.57447908	0.001352435	9.2657443e-05	1.0	0.01761732	0.0012493342
4.1027187	0.67044813	0.51449422	0.29119792	-3.3045631	0.035414981	-1.9311509	0.12662324	0.88287895	3.4325284	1.1246289	0.42857916	2.8151867	0.77727086	-6.5838964	-8.6332375	0.48222293	0.0013805437	0.00017805545	1.0	0.0098160651	0.00070431692
4.1040321	0.67302107	0.51226735	0.29674018	-3.4024886	0.032217779	-1.9583349	0.12364736	0.88385558	3.4047973	1.1513666	0.56555741	2.9776574	0.77742891	-6.6034607	-8.7044584	1.5892345	0.0013538331	0.00016581725	1.0	0.020345174	0.022477739
4.1152086	0.68438201	0.50778945	0.28119332	-3.2371348	0.037791943	-2.0104569	0.11810938	0.88950571	3.3567604	1.1762406	0.5795079	3.1468345	0.5273663	-6.6885541	-8.3119754	-2.1279979	0.0012435335	0.0002454982	1.0	0.01508687	0.0016644471
4.1151914	0.68652333	0.50657922	0.28517689	-3.2473281	0.037423017	-2.0005304	0.11914724	0.88908175	3.4123687	1.182418	0.56392694	3.0826788	0.54004786	-6.7915491	-8.2173764	-1.7420778	0.0011219672	0.00026984947	1.0	0.014032205	0.0021109795
4.1127379	0.66575509	0.51136856	0.24448925	-3.2190397	0.03845548	-2.0163016	0.11750195	0.88397205	3.3960182	1.1476006	0.62032456	2.8975363	0.67879201	-6.344975	-9.4893124	0.80063688	0.00175247	7.5650383e-05	1.0	0.01625332	0.00079005798
4.0942635	0.67555971	0.51266414	0.26495844	-3.2865542	0.03603535	-1.974677	0.12188742	0.884536	3.3704181	1.1698036	0.62230563	2.9453056	0.66964013	-6.3204257	-9.3044076	0.010850547	0.0017959462	9.1013872e-05	1.0	0.020701315	0.00052174085
