alpha	alpha_i_sd	beta[1]	beta[2]	beta[3]	beta[4]	beta[5]	beta[6]	beta[7]	beta[8]	beta[9]	beta[10]	beta[11]	beta[12]	beta[13]	beta[14]	beta[15]	beta[16]	beta[17]	beta[18]	beta[19]	beta[20]	beta[21]	beta[22]	beta[23]	beta[24]	beta[25]	beta[26]	beta[27]	beta[28]	beta[29]	beta[30]	beta[31]	beta[32]	beta[33]	beta[34]	beta[35]	beta[36]	beta[37]	beta[38]	beta[39]	beta[40]	beta[41]	beta[42]	beta[43]	beta[44]	beta[45]	beta[46]	beta[47]	beta[48]	beta[49]	beta[50]	beta[51]	beta[52]	beta[53]	beta[54]	beta[55]	beta[56]	beta[57]	beta[58]	beta[59]	beta[60]	beta[61]	beta[62]	beta[63]	beta[64]	beta[65]	beta[66]	beta[67]	beta[68]	beta[69]	beta[70]	beta[71]	beta[72]	beta[73]	beta[74]	beta[75]	beta[76]	beta[77]	beta[78]	beta[79]	beta[80]	beta[81]	beta[82]	beta[83]	beta[84]	beta[85]	beta[86]	beta[87]	beta[88]	beta[89]	beta[90]
-1.294242	2.7800274	2.0845762	3.2938565	3.617276	2.6242585	5.729611	2.0815311	0.7274253	1.3988935	0.99046132	2.9637746	3.3075572	2.555737	-0.051354704	0.36452796	0.005301516	0.70542011	1.7076476	1.1401273	1.5101697	0.92639891	1.9413931	0.99368882	3.086688	3.0083256	0.25512386	-0.28636177	-0.48244592	1.9710299	1.5280577	1.631544	-1.3196116	-1.6448331	-1.3349266	-0.21088945	0.34975211	-0.050291435	0.41667569	-0.35278915	0.052064461	1.7161347	1.7948929	1.098446	-0.89038271	-0.97928819	-0.84346023	1.2219192	0.070684836	1.5655514	-2.2005872	-2.1346534	-2.1747882	-0.92906446	-1.6072294	-0.89274773	-1.6369687	-0.6378528	0.87370604	1.8852106	1.2834567	2.5667179	-1.3756424	-1.9636002	-1.0880406	0.21160733	-0.94509116	1.0499796	-3.1856392	-2.2634558	-2.3666764	-1.8492619	-2.6132797	-0.86610435	-0.76625471	-1.1875065	-2.2528885	-1.2893775	0.69898907	0.93583556	-2.644812	-2.0864079	-2.5456993	-0.9092237	-0.94052146	1.022431	-3.631527	-3.8075366	-3.1855118	-1.7425908	-3.287361	-1.5099205
-1.3630275	2.6848487	1.4837751	2.9346483	3.8437931	1.4470815	5.9735436	3.6818638	0.95507136	1.36413	0.91524612	2.7595234	3.3995097	3.426555	-0.31816702	0.39247058	0.17054674	0.60603593	1.8361664	1.4144815	1.6825636	0.88270478	0.99186027	1.8151971	3.3876776	2.1193737	0.19098016	0.079461476	-0.41213238	2.1458871	1.0799121	1.2910805	-1.6367743	-1.6324118	-1.0816564	0.051232673	0.56016674	-0.21231607	1.0785553	-0.43929497	-0.19721037	2.303949	2.5914701	1.2170396	-1.4275938	-1.1041762	-1.1568229	1.3187801	0.023940467	1.1364429	-2.4815929	-2.1078497	-2.3194336	-1.3225845	-1.3682875	-0.82156261	-0.97246085	-0.67517311	1.0487737	1.4548789	0.7131294	3.7401307	-1.4187516	-2.1132841	-0.77508522	0.00017007511	-0.82535738	0.64154568	-2.8744579	-2.6523215	-2.6437868	-1.2692293	-2.1865364	-0.57751664	-0.48210411	-0.73584874	-1.9031099	-1.9076023	0.74888839	1.3146586	-2.9097641	-1.9726874	-3.60577	-0.96971906	-0.29957378	-0.45175551	-4.2433628	-4.0194574	-3.1223344	-2.0082183	-3.0462949	-1.5134623
-1.2750394	2.6445587	1.5409354	3.0484461	3.3356314	3.3606618	5.3055437	2.6184485	0.57784888	1.3680328	0.99409829	2.8686818	3.4165073	2.3445363	-0.3014622	0.47582926	-0.096769005	0.8178747	1.6790377	1.0024922	1.6633989	0.51027776	1.2764303	1.5038643	2.4319534	1.8219299	-0.2042567	0.26374015	-0.21711697	1.1889583	1.4152646	1.5700666	-1.7379014	-1.4978031	-1.564003	-0.50715221	0.39564524	-0.07036213	1.4814299	-0.5333704	0.45300175	3.8703153	1.6602139	0.28708381	-1.0461958	-1.301988	-0.92171252	0.75279032	0.24738268	0.79788056	-2.5758225	-2.1466165	-2.3097917	-0.90526179	-1.2217601	-0.63652498	-1.2211155	-0.53400284	0.14102423	1.8604938	1.4906427	2.324991	-1.2840084	-2.4305498	-1.0866699	0.83669225	-0.94153123	1.2385447	-2.4529344	-2.6109248	-2.559177	-1.2731033	-2.2172639	-1.0983168	-0.21508167	-0.59985993	-1.1813516	-0.22988716	0.70972032	2.1415502	-2.6682554	-2.1742469	-3.0839157	-1.6562091	-1.2119139	0.63033473	-3.3156578	-4.2969052	-3.2741655	-1.7936152	-2.4924537	-2.0212399
-1.3014227	2.7401102	1.7997358	2.7596948	3.2972453	3.8228525	4.4916075	3.0037577	0.56503734	1.4671456	1.310818	2.4209484	3.1219687	3.2509724	-0.58724392	0.092770284	-0.24939001	0.57589047	2.0718745	1.4694776	1.2450928	0.87794929	1.6917641	1.9301894	2.6012237	2.0877554	0.32847013	-0.13243229	-0.36843655	1.5172376	1.572803	0.97461486	-1.9762349	-1.5414152	-1.299188	0.008236051	0.44376449	0.025894688	1.2372408	-0.18837356	-0.5838263	2.0550182	3.1525031	1.224275	-0.91549585	-1.1992122	-0.52308779	0.60193031	-0.025911869	1.9469488	-2.7403146	-2.0429888	-2.3675292	-0.92033712	-1.0408385	-0.96417864	-0.2038066	-0.9074204	1.351135	2.3369308	2.1428205	3.0089323	-1.3740569	-1.9160715	-1.0425628	-0.176874	-0.66474069	0.43992819	-2.739068	-2.8631959	-2.9470882	-1.3191235	-2.451602	-0.79225728	-0.43820729	0.0011042653	-1.5931155	-2.4016904	1.4645103	1.1396498	-2.3807711	-2.7601304	-2.6260948	-1.6444446	-0.8975186	0.032878037	-4.147854	-4.4012796	-3.6734032	-1.8603678	-2.725424	-2.3479935
-1.2619399	2.5880788	1.3537343	2.3080488	2.912171	3.1938415	5.070133	0.87201716	0.61873241	1.4228724	0.92601683	2.9204556	3.0802058	2.6132722	-0.25151235	0.37612411	-0.4959066	0.884988	2.0947862	1.0014796	1.2899347	0.79644188	1.1723878	2.884817	2.1476737	1.501209	0.047827511	-0.45957363	-0.26191151	1.4633362	1.1209285	1.4773956	-1.4053904	-1.2991644	-1.7121666	-0.13964829	0.73257274	-0.41209862	1.2979376	-0.11049573	0.61354091	1.8337828	2.2379831	2.3242947	-1.2670611	-1.4204165	-0.62261744	0.92284656	0.090919569	0.078657587	-2.2600083	-2.5201048	-1.9203135	-0.83141488	-1.3365956	-1.1096852	-0.63122014	0.065548047	0.013216477	1.4454195	1.7809482	1.4955455	-1.5601886	-2.5437491	-1.5110246	0.60054502	-0.90751814	0.96741867	-2.3617765	-2.8350466	-2.4756989	-1.9214452	-2.0020014	-1.5316572	1.3830364	-0.71325262	0.36736867	0.57901623	1.1439394	1.6442077	-3.2425626	-1.5193936	-2.5056014	-0.6799728	-0.94096357	0.026631526	-3.3488231	-3.8191832	-2.7341637	-2.3080981	-3.0728346	-2.1939468
-1.3173088	2.6568958	1.6840074	3.1239791	3.1243322	3.5442952	4.6916259	3.7840572	0.41706608	1.2916452	1.0549627	2.3276506	3.5048085	2.9056517	-0.53121053	0.3616933	0.23572083	0.75857004	1.9417099	0.92921924	1.7031907	1.3872692	1.6798519	0.95854252	3.2570232	2.8358422	-0.043703859	-0.38037244	-0.082481234	1.5187521	1.2957368	0.43253724	-1.9937985	-1.1298675	-0.9285615	-0.30510877	0.66406808	0.25594634	0.6243014	0.070578084	0.72971791	2.9183241	2.7476314	0.5330745	-1.0968289	-1.6097031	-0.76260872	0.58833821	0.38593509	2.1378328	-2.6040125	-1.9796926	-2.3045335	-1.2923336	-0.88103471	-1.0801258	-0.84824084	-0.82395296	0.30323842	1.1857537	1.1656873	2.9320908	-1.5715243	-2.3145429	-1.5460292	-0.44314824	-0.47244715	0.5387454	-2.7942632	-3.1282632	-2.675832	-1.7147941	-2.0904124	-1.1891208	0.021441212	-1.0775372	-1.7046973	0.2669348	0.46533762	0.88439036	-1.6594672	-2.4400321	-2.5595395	-1.733247	-0.35392174	0.22554154	-4.0162775	-4.4553444	-3.0002727	-1.5442936	-2.5009075	-2.7305631
-1.3200859	2.6245445	1.8258679	2.3975149	2.8211269	3.0163316	4.8428004	3.5578454	0.55619562	0.81884566	1.4551593	2.2155333	2.8436535	2.7760181	-0.13355479	0.42417273	-0.21264909	0.77462239	2.3755669	1.0957499	1.2835006	0.99760073	1.6237647	1.1182993	3.348324	1.4615225	0.019070946	-0.40946318	0.044330721	1.665734	1.4188406	1.1004292	-1.5276835	-1.129491	-1.2163916	0.039580825	0.54942001	-0.7577786	0.52843965	0.2376309	0.22913797	0.44661802	3.5882581	3.4385189	-0.89637864	-1.4812135	-0.56987339	-0.20570566	0.082122848	1.1314821	-2.5436097	-2.0537527	-1.6213999	-1.2526783	-1.1674547	-0.94789484	-0.47302949	-0.33051961	0.92654126	1.4937409	1.1183729	2.0355411	-1.3607024	-2.1944058	-1.4343035	0.18108548	-0.89645378	1.1062657	-2.3867207	-2.4634523	-2.8437844	-1.439486	-1.6620307	-0.8433665	-0.36144262	-0.44691481	-0.74481228	-0.83327315	1.1901548	0.80883005	-2.5642369	-2.3605665	-2.9023609	-1.5181051	-1.2204811	0.64026787	-4.0746648	-4.555324	-3.1951431	-1.7379687	-3.0787264	-1.6011826
-1.3073331	2.8364782	1.5833655	3.4526354	3.4801086	3.3437969	5.8314179	2.5701182	1.1658183	1.3113674	1.1327529	2.7864199	3.2552202	3.0725777	-0.86648077	0.78815309	-0.13880526	1.4612354	1.9068547	1.5779844	1.0761549	0.6333275	0.94723803	2.7794944	2.4130422	2.8397061	-0.0058957322	-0.21331417	-0.42091727	1.7262381	1.5425763	0.82359228	-2.1864038	-1.4742931	-1.8047402	0.253847	0.57726194	0.53137827	1.4572896	-0.43098729	-0.43035997	3.3852736	1.139925	1.1309942	-1.0650429	-1.547967	-0.56933193	1.321352	-0.18537002	0.80398019	-3.0706829	-2.2424353	-2.1350148	-0.77007001	-1.3221637	-0.97144892	-0.61514543	-0.41051449	-0.25777299	0.86342992	2.1036037	3.3118067	-1.789234	-2.6249196	-0.91291205	0.31674374	-0.54753078	0.85648166	-3.2286457	-2.9378243	-3.0981989	-1.2371837	-2.4323866	-1.1882488	0.068708897	-0.10693157	0.27767976	-2.348958	0.68671502	2.2802457	-3.2923672	-2.3504193	-2.1845768	-2.4264025	-0.75373888	-1.4229038	-3.942667	-3.850059	-2.4581879	-1.7956009	-2.8255681	-1.9772895
-1.3026643	2.8762156	2.4251574	3.1412885	2.3565056	4.4626811	5.8990794	4.368256	0.52911202	1.1568106	1.172426	2.9801193	3.5234636	2.8397476	-0.090029128	0.79896409	-0.23395101	1.112978	1.890788	1.1180798	2.0287704	1.0097921	0.96652357	2.4881321	3.4780248	1.0056916	0.046645155	-0.51280929	-0.65869154	1.9675799	1.4546472	1.1895782	-1.7245569	-1.0020363	-1.4085468	0.25342904	0.081548081	-0.3540768	0.79046353	-0.40605411	0.43904266	1.4010799	3.9265639	3.2931425	-1.3221544	-1.4238814	-0.91603938	1.0151427	0.44190206	0.59200438	-2.9576366	-2.3158288	-2.5892488	-0.38669165	-1.5111356	-0.07429322	-1.4517255	0.22581499	-0.064427	1.617196	1.4637427	2.0630603	-1.6702642	-2.5725747	-1.1692373	0.2975018	-0.77450511	-0.17078194	-2.5743753	-3.0396952	-2.8772217	-1.1849557	-2.0628568	-0.51839359	-0.62714245	-1.4026203	-2.603944	0.10393408	1.1003481	-0.089518764	-2.0233416	-1.9714618	-2.893937	-1.886365	-0.94285415	-0.0012724036	-4.2034812	-4.2550839	-4.1879316	-1.9279682	-3.0406469	-2.4405138
-1.2737307	2.8094523	0.82686317	2.5176035	3.1176489	3.7392999	5.8234918	5.8174823	0.51133201	1.258661	0.92046527	3.0133947	3.1344783	2.3832264	-0.28397244	0.66462564	-0.29188313	1.2890006	1.582618	1.9797043	1.0165415	1.3401027	0.25705878	3.1857012	2.925714	2.2134493	-0.17733631	-0.22923798	-0.25748088	1.9861115	1.4020833	1.7148453	-1.894548	-1.4849656	-1.5138602	0.16119529	0.53170557	0.72355059	1.1135916	0.048564233	-0.31967739	2.7833566	4.1828646	1.5441631	-1.3908353	-1.3862639	-1.0367359	0.69241643	0.12748528	1.5895226	-2.515813	-1.6863345	-2.6579015	-0.8957442	-1.4136823	-0.70014069	-1.7794205	-0.57580189	-0.298078	2.5500222	2.0219614	1.7309827	-1.5939952	-2.5618262	-1.7084134	0.80133696	-0.26283095	0.28342342	-2.6875119	-2.8236524	-3.4606495	-1.3340817	-2.1586054	-1.567916	-0.47078507	-1.0295933	-2.0134779	-2.24681	1.3144534	0.74050923	-3.2801937	-2.2780309	-2.3342933	-2.1197569	-0.97372515	0.21690827	-4.739242	-3.7148104	-3.2519339	-1.6899075	-3.0354754	-1.6522851
