alpha	alpha_i_sd	beta[1]	beta[2]	beta[3]	beta[4]	beta[5]	beta[6]	beta[7]	beta[8]	beta[9]	beta[10]	beta[11]	beta[12]	beta[13]	beta[14]	beta[15]	beta[16]	beta[17]	beta[18]	beta[19]	beta[20]	beta[21]	beta[22]	beta[23]	beta[24]	beta[25]	beta[26]	beta[27]	beta[28]	beta[29]	beta[30]	beta[31]	beta[32]	beta[33]	beta[34]	beta[35]	beta[36]	beta[37]	beta[38]	beta[39]	beta[40]	beta[41]	beta[42]	beta[43]	beta[44]	beta[45]	beta[46]	beta[47]	beta[48]	beta[49]	beta[50]	beta[51]	beta[52]	beta[53]	beta[54]	beta[55]	beta[56]	beta[57]	beta[58]	beta[59]	beta[60]	beta[61]	beta[62]	beta[63]	beta[64]	beta[65]	beta[66]	beta[67]	beta[68]	beta[69]	beta[70]	beta[71]	beta[72]	beta[73]	beta[74]	beta[75]	beta[76]	beta[77]	beta[78]	beta[79]	beta[80]	beta[81]	beta[82]	beta[83]	beta[84]	beta[85]	beta[86]	beta[87]	beta[88]	beta[89]	beta[90]
-3.1864369	2.0388306	0.20344473	-0.88500928	0.85701199	0.36923117	-1.0394395	-3.3045957	0.84311614	-0.026157162	0.37936498	-0.76015617	-1.1710546	-2.4978805	0.017299497	0.42858446	0.75629641	0.30865569	-0.91009217	0.59949555	0.16059975	0.35360582	1.8066431	0.18303827	-2.0874245	0.20074139	0.46442538	0.54210225	0.15271605	-0.85719476	-0.55208365	-0.79627109	1.0086674	1.1102811	0.59374101	-0.61759676	-1.3752451	0.2637508	0.67738184	-1.9117009	0.63912123	-1.4515398	1.3821381	-0.15770637	-0.84329755	-0.038459846	-1.0605795	-0.94533337	0.22860325	-1.425577	1.3943523	1.754657	1.218797	-1.0981241	-0.49346653	-0.32859789	-0.55668727	0.025618603	2.5453051	-1.1995448	-0.021684002	-0.54087457	-0.13047654	1.5785545	1.0504124	-0.64768904	-0.39495143	-0.21555144	0.90470599	1.0774084	2.0870225	-0.34377002	0.87106007	-0.050763224	-3.438996	0.7572149	1.3425664	-1.0364993	-0.64026231	1.7105178	1.4621277	1.1309064	0.86695031	-2.0407282	-0.56547516	-1.6535368	-1.2215106	-0.12705189	1.8287394	1.5189982	1.3553988	0.44926519
-3.2099362	2.0008505	-0.20438937	-0.35235443	-0.33094553	0.030409728	-1.7937449	-2.2505141	1.2077873	-0.085435187	-0.47833978	-0.77018651	-1.5510474	0.051432904	-0.19872523	0.64618538	-0.078908816	-0.5874207	-0.94175848	0.26933079	0.52323397	0.78138587	-0.095855954	-2.9459136	-0.66292287	-0.16984498	0.30774235	-0.26332536	0.61038448	-0.40616799	-0.35792384	-0.89291168	1.2575183	0.45110796	1.8198784	-0.50977443	-0.22057421	1.5227394	-0.088214301	-0.82296673	0.11383741	-1.9019062	-3.7614139	-3.7375208	-0.55600146	1.037739	1.1149032	-0.50622967	-0.24179283	0.044325246	0.27169671	0.68832569	1.7724936	-1.0615866	-0.8246016	0.47722244	-0.080628226	0.020448615	1.3112978	1.1676172	2.1903998	1.0724754	0.029815626	-0.18445664	0.34703866	0.7840475	-0.022477382	0.15745331	0.77346184	1.3040929	0.73645642	0.95895916	0.92157897	-1.3882565	-2.0679008	1.6022861	1.7418995	0.14348103	1.2568958	1.652428	-0.20609494	1.1112876	2.5597378	-0.54423865	-2.4215284	-2.976656	0.77403453	0.14975088	0.45651641	0.47375917	0.64831789	0.19823876
-3.2490885	2.1131197	0.19602186	-0.04169109	0.77002337	-0.067179951	-2.1278817	-3.564906	1.2096655	0.23755401	-0.066893843	-0.066233014	-1.2047827	-1.1191041	0.13010025	0.29574248	-0.36392274	-1.1065718	-0.90654027	-0.18504362	0.11151231	1.1913431	1.0775784	-2.2901773	-0.26389133	-1.9842543	1.0790539	-0.070616419	-0.025110618	-0.66448173	-0.64134778	-0.48692108	0.88096869	1.2526121	1.8753002	0.25660638	-0.16857413	0.80966477	0.28795678	-1.4334008	0.055213401	-2.1826811	-3.5099954	-2.7913782	-0.46912788	1.0796986	0.87047158	-0.87618791	-0.63043583	-1.0337403	0.38590278	0.79964809	1.0532379	-0.48734447	-1.0038162	0.00038460349	0.72653499	0.70086545	1.7084157	0.11584901	1.8834939	1.088092	0.34851794	0.63500508	0.81528154	0.9998544	0.50931394	0.7259752	1.2169208	0.80981361	1.7987929	0.039016291	0.26136193	-1.2459742	-1.9415612	2.0598435	1.1868589	1.0020698	2.0131672	0.3403239	0.59227581	0.57996396	1.303224	-0.43084292	-2.0655131	-4.0669552	1.2392468	0.60174673	0.20866055	-0.42938068	0.19078633	0.40692803
-3.2715351	2.0631751	-0.60002175	-0.67957219	-0.15455523	-0.82216502	-1.5790811	-3.2572316	1.1442217	-0.28224312	-0.3149527	-0.25086718	-1.3084308	-1.5066262	0.56121656	0.043224706	-0.48203004	-1.0184075	-1.530272	0.54903561	0.17348565	1.6370324	1.2448655	-2.5764071	-0.41026567	-1.7107857	0.82457911	-0.022925472	1.0386126	-0.35699267	-0.95467977	-0.21275643	1.592201	1.1290108	1.5409678	0.45076573	-0.93270205	1.428539	0.44216811	-0.88657233	-0.66333786	-3.4111694	-3.461587	-1.6274116	-0.050007768	0.82646429	0.76529094	-0.63930927	-1.0795319	-0.54621113	-0.12663294	0.070387935	1.0545386	-1.5887879	-0.92998268	0.2028919	0.39839554	0.39646453	1.20102	1.8088154	2.1054332	-0.30182724	0.88776458	0.65075646	0.93016828	1.1979762	0.1744139	0.94695247	0.73968176	1.5339638	1.581567	-0.4890974	0.41425099	-0.089667202	-1.4236587	1.328659	1.3192599	2.5168276	1.6109647	1.1658617	0.58722201	1.0331331	1.5563172	-0.8798224	-2.1515377	-4.8877211	1.8325631	0.86283548	-0.42367709	0.94308033	0.031496085	0.14617779
-3.2620874	2.0537683	0.27885017	-0.71122911	0.50365471	-1.213916	-1.3674786	-1.8280158	0.26941627	-0.14675938	0.00035269384	-0.46152553	-0.70158885	-0.88904215	-0.15576326	0.25072954	0.97495741	0.53823459	-0.53488608	0.5699278	0.037661688	0.51162278	-0.68204861	-1.5578135	-1.6618538	-1.4869376	0.4753205	-0.24699144	0.41729346	-0.23208181	-0.50824553	-0.099355179	-0.040672227	0.69254937	1.8716858	-0.76118197	-1.0504481	0.3629915	0.33103546	-0.72331139	0.28566355	-1.0851674	-2.8425474	-1.0871261	0.067139103	-0.56299144	0.89635439	-0.034933041	-0.1607335	-0.61439838	0.27412787	1.0278215	1.439424	-2.1058791	-0.44198907	0.32746406	-0.76993325	0.9566804	2.7102112	-0.64918044	-0.36931197	0.42392662	0.75235587	1.9162183	0.53469996	0.17905674	-0.14434223	-0.60971241	-0.59039419	1.7417965	1.8597492	-0.85579655	0.68779865	-0.73533747	-1.5863247	2.4647239	1.010778	0.88100691	2.9449933	0.94956799	0.97029217	1.5770816	2.4566525	-0.759334	-2.796433	-3.063746	-0.20733211	-0.34566938	-0.36581268	-0.49436899	1.2041585	1.7139143
-3.2174678	2.17987	-0.79903752	-0.58351777	-0.32344026	0.32206651	-1.6326667	-1.4721069	1.2532268	0.12617421	-0.79233842	-0.19958514	-1.2185457	-1.0495604	-0.69191624	0.86862072	0.17483052	-1.169315	-1.6725767	0.062574412	0.23691044	0.51536607	0.24780278	0.11823804	-1.6394457	0.26034991	1.3164319	0.62314251	0.17122299	-1.0564301	-0.89534599	-1.2406387	1.0077224	1.1133597	1.1315439	-0.24838485	-1.4073888	-0.37223529	-0.13826166	-0.75248972	-1.2702399	-0.54958191	0.40059527	-1.5371742	-0.67756964	-0.23890685	0.18798577	-1.1960567	-0.57689814	-0.52360853	-0.25914812	0.83750888	1.0846701	-0.64130402	-0.69601902	1.459489	0.41524458	0.74391849	3.5330187	-0.06137898	1.8383483	-1.9680037	0.93635769	0.55407027	-0.63198429	0.7739308	-1.1479355	-0.48706555	0.95811567	2.041086	0.36455554	-0.91564494	0.27960344	-0.29494074	-1.397644	1.8099877	-0.37207527	3.1078039	0.36213423	1.0322234	0.041492592	1.6538344	2.8806597	-2.7468157	-2.0456903	-0.92279506	0.49369512	-0.32920055	0.86825019	1.4608889	0.3756319	0.79822473
-3.2129609	1.9652463	0.066186111	-0.82863453	1.0679966	-1.3373052	-2.1859944	-0.23420793	0.66943601	0.082492349	0.14450692	-0.83481734	-1.0120291	-1.2942025	0.68929137	0.20261996	0.92962308	1.0203701	-0.39558269	0.3624412	-0.68033504	0.41163095	0.46038156	-1.5701402	0.43759285	-0.41812384	0.24652109	-0.55441845	-0.29511182	0.057952624	-0.18666001	-0.22305875	0.76977718	0.90521568	1.8508843	-1.5757325	-1.4137794	1.4906561	0.025761243	-0.93586248	0.51534398	-0.55668525	-1.3806788	1.4021228	0.050883954	0.80708428	0.67144951	0.54186367	-0.11073165	-1.010201	1.4436192	1.5193055	2.142478	-2.225801	-2.0557196	-1.2668975	0.72445492	1.0596825	0.9227113	1.1367887	-0.41133104	1.9246695	0.78147926	0.67075811	0.59236757	-2.2282289	-0.85445598	0.1509757	0.2480264	1.7125073	0.47511017	0.015429411	1.2031851	-0.42281682	-2.3000352	1.3545859	2.8610349	-5.247498	-0.032516098	-0.71490903	0.16764112	1.3896579	1.6530892	-1.4892502	-1.8040019	-3.0830226	-0.63427583	2.4489185	0.589438	-0.8896899	1.5252255	0.1015173
-3.4426567	2.4983431	-1.8181357	-0.23161119	0.11578454	-0.56750142	-0.99901243	-3.5360437	0.052417323	-0.52018602	-1.0198504	-0.62068174	-1.6672034	-0.32139407	-0.12220538	0.47490794	1.1669918	-0.47211704	-1.1827258	1.1554321	-0.7547698	1.1889626	1.1346042	-0.58607452	-2.67153	-1.5853161	0.50261634	0.16943095	0.98844608	-1.124869	-1.2433213	-1.6931881	1.2530023	0.19015863	1.680959	-0.093359222	-0.64170024	0.2994636	-0.30388997	-1.3000399	0.91777438	-0.43127226	0.36194993	-1.2264667	-1.0893729	-0.38455592	0.15379259	-1.0553138	0.036803127	-0.97328475	1.1231013	1.3340208	2.0228302	0.06928356	-0.49648151	0.33859171	-0.37913934	0.8135072	1.3536131	1.402391	2.9640393	-0.13079402	-0.7820394	-0.80321258	1.1788043	-0.32528448	0.20767495	-1.372348	1.2865134	0.70059094	0.85472569	-2.1905097	-0.061468846	-1.7905644	-0.66892511	2.3349085	2.879564	4.210654	-1.4536766	2.4512593	0.18623903	0.94984447	1.6877872	-0.79779566	0.19684759	-0.67709682	1.0478312	-1.0494423	1.283983	-0.589782	-0.10410691	-0.81244263
-3.3413467	2.1892067	-1.8299578	-0.18963924	0.57853814	-1.5375127	-2.2299982	-0.035567033	1.0297434	0.34318746	0.29505929	-0.72720967	-0.74347411	-2.0782541	1.0078953	0.26062512	1.1235723	0.36288971	-1.1864282	-0.58181141	0.43086203	0.49779149	1.9458386	-1.0603936	-1.2546049	-0.70504159	0.53949785	-0.068928744	0.61958772	-0.10037802	-0.36534435	0.077073051	1.0842488	0.56796411	1.132703	-0.49018907	-1.5011323	1.6447855	-0.36045653	-0.10704011	-0.71462886	-1.3785269	0.11452203	-1.2853161	-1.348323	-0.11809953	0.91965744	-1.8185083	-0.076850835	-0.4341062	2.3233331	1.713227	1.480925	-0.82190106	-1.3837263	0.11307565	0.0091062242	0.14046061	0.85587994	1.1154632	2.3802911	0.10097826	0.11930067	0.27349017	0.10337278	-0.23825869	-0.12581841	-0.72519536	1.3632924	0.87050245	0.85694474	-0.61212936	0.53133377	0.54218876	-1.6593105	1.5360213	-0.35284251	-0.22617024	1.15698	-0.49152814	0.87350292	1.1904717	1.4052902	-0.90234169	-1.443891	-3.1009761	0.34345386	-1.3716865	0.34762904	2.5693551	0.043168342	-1.1515836
-3.6646626	2.4636113	0.039032111	-0.96485509	0.48364414	0.58671886	-0.78767197	-4.9264004	1.0315007	-0.059865428	-0.5583062	-0.56294178	-1.6202379	-0.15474816	0.23162069	0.95066366	1.4360846	-0.59821876	-0.84440475	0.053492385	-0.89535229	1.1001704	0.56352496	1.0437053	-0.31275596	-1.3527816	0.64244148	0.1447079	0.35566437	0.07784032	-0.62868652	-1.6875668	1.7543208	0.58488494	2.108739	-0.82956971	-1.5900673	0.89627146	-0.47183793	-2.002821	-0.088483914	-0.90741968	-0.66775837	-2.312102	-0.63312869	0.90426128	0.50384829	0.9882739	0.28523935	0.14391242	0.99110174	0.45898363	2.7599344	-0.037453637	-0.72847888	-0.58132447	-0.59343783	-0.059147864	2.0029225	1.5803283	2.563392	-0.53728398	-0.22834598	0.37176383	1.2508103	-1.6845336	-0.71294767	0.48022494	1.5071342	0.93889864	1.0347808	0.81201003	0.34935337	-0.59252801	-1.4928608	1.6588305	3.2361125	-1.1630623	-0.080376938	0.86854866	-0.43222394	0.73229295	1.8019898	-4.249661	-0.075004463	-4.1306115	0.63219135	-0.7972831	0.85448631	-0.91791692	1.1389441	-0.38313285
