prob_fn	mu_0	omega_mu	sigma_0	omega_sigma	prob_tx	prob_bd_given_prev_tx	mu_tx	sigma_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx	trans_form
0.068238868	4.0890079	0.71502742	0.48949539	0.41112861	0.11564659	0.90183399	2.7267652	0.20836497	-6.5652545	-8.858131	0.38856357	0.0014064845	0.0001422004	1.0	0.016625725	0.013699406	ve
0.063501727	4.0854635	0.71060003	0.4860598	0.41320408	0.12001504	0.91183388	2.5006336	0.28340497	-6.4189246	-8.8322915	0.16028618	0.0016277547	0.00014592213	1.0	0.015898296	0.0055661574	ve
0.057398982	4.0975327	0.69733706	0.49268997	0.42588667	0.12081152	0.92783475	2.4632165	0.24673391	-6.5097974	-8.7128697	-0.091235889	0.0014865681	0.0001644286	1.0	0.0093854024	0.011617307	ve
0.062890728	4.1008158	0.70126712	0.4969338	0.35547857	0.11373636	0.95063187	2.4642933	0.29724635	-6.9640048	-6.0269533	0.79409009	0.00094441043	0.0024070262	1.0	0.01240586	0.010761559	ve
0.06620711	4.0952946	0.71610307	0.49981149	0.35009209	0.11615492	0.90038462	2.6570791	0.25399319	-6.913811	-7.4978777	0.57930561	0.00099297557	0.0005539524	1.0	0.015641821	0.011156387	ve
0.061132305	4.1158001	0.70216105	0.48848006	0.39456247	0.12207044	0.95368502	2.4034457	0.22206474	-6.8732013	-5.9789016	-0.8518239	0.0010340875	0.0025252127	1.0	0.0046952988	0.0094728001	ve
0.064359692	4.123251	0.69700603	0.4890063	0.38696092	0.11625453	0.94960757	2.7495707	1.5096627	-6.9846566	-5.1138228	2.447019	0.00092512453	0.0059771116	1.0	0.013790936	0.0083472273	ve
0.068710961	4.1213941	0.71236475	0.49015354	0.39665315	0.11661719	0.93932966	2.5809701	0.78896586	-6.8411826	-5.0309592	-0.27703627	0.0010676975	0.0064901447	1.0	0.0081294018	0.01190033	ve
0.063035387	4.090968	0.71614164	0.4908602	0.37028685	0.13007275	0.96274741	3.3653312	0.5977683	-6.0692785	-9.8129432	0.59323218	0.0023075043	5.4735509e-05	1.0	0.014929457	0.015634066	ve
0.070212862	4.1144975	0.72733255	0.48168142	0.36513791	0.12328786	0.95799231	1.9624672	1.3017618	-6.8486231	-5.3039135	-0.36892732	0.0010597911	0.0049474979	1.0	0.0093622374	0.017368239	ve
0.059246396	4.1001597	0.72295436	0.47329538	0.37930002	0.10630514	0.90494348	3.1184881	1.3944825	-6.3650591	-8.741444	0.14422204	0.0017176842	0.0001597974	1.0	0.013221868	0.004152418	ve
0.059977363	4.1057826	0.70852875	0.48340055	0.39634138	0.12364707	0.93442202	2.6216782	0.14751982	-6.4253774	-8.5097806	-1.8333177	0.001617302	0.00020144743	1.0	0.0077404346	0.0089106469	ve
0.06019723	4.1096545	0.72312252	0.47988699	0.39806309	0.12267512	0.94753039	2.5514324	0.2650712	-6.6408024	-8.4195799	-0.011046586	0.0013042755	0.00022045866	1.0	0.008282569	0.013731733	ve
0.056808487	4.1011833	0.72660479	0.47498583	0.35920245	0.12270357	0.93088944	2.6628933	0.2570915	-6.7330061	-8.635702	-0.78423053	0.0011895308	0.00017761724	1.0	0.015434626	0.0053142016	ve
0.06504755	4.0980244	0.72212227	0.488659	0.3693722	0.11806544	0.91551996	2.6531446	0.80849406	-6.5100619	-8.5964858	-0.30966467	0.0014861755	0.00018471978	1.0	0.0081436462	0.0054302147	ve
0.062526345	4.1161836	0.71453771	0.49963427	0.33644099	0.12288905	0.97101541	4.2224981	1.765168	-6.5348564	-8.1679795	0.70544692	0.0014498324	0.00028351004	1.0	0.0096171916	0.0043700504	ve
0.069281706	4.1044897	0.7099143	0.49148506	0.39616932	0.10784379	0.92028964	2.6204159	0.41056282	-6.5483871	-8.7424861	-0.68067576	0.0014303752	0.00015963098	1.0	0.0084503118	0.0021278948	ve
0.05920113	4.0940943	0.71002374	0.49328628	0.38852809	0.12631118	0.95091491	2.6912148	0.26786334	-6.3936125	-8.6754491	-0.21451178	0.0016694128	0.00017069712	1.0	0.0097899943	0.012798397	ve
