alpha	alpha_i_sd	beta[1]	beta[2]	beta[3]	beta[4]	beta[5]	beta[6]	beta[7]	beta[8]	beta[9]	beta[10]	beta[11]	beta[12]	beta[13]	beta[14]	beta[15]	beta[16]	beta[17]	beta[18]	beta[19]	beta[20]	beta[21]	beta[22]	beta[23]	beta[24]	beta[25]	beta[26]	beta[27]	beta[28]	beta[29]	beta[30]	beta[31]	beta[32]	beta[33]	beta[34]	beta[35]	beta[36]	beta[37]	beta[38]	beta[39]	beta[40]	beta[41]	beta[42]	beta[43]	beta[44]	beta[45]	beta[46]	beta[47]	beta[48]	beta[49]	beta[50]	beta[51]	beta[52]	beta[53]	beta[54]	beta[55]	beta[56]	beta[57]	beta[58]	beta[59]	beta[60]	beta[61]	beta[62]	beta[63]	beta[64]	beta[65]	beta[66]	beta[67]	beta[68]	beta[69]	beta[70]	beta[71]	beta[72]	beta[73]	beta[74]	beta[75]	beta[76]	beta[77]	beta[78]	beta[79]	beta[80]	beta[81]	beta[82]	beta[83]	beta[84]	beta[85]	beta[86]	beta[87]	beta[88]	beta[89]	beta[90]
-11.53986	12.031718	-6.4534125	2.4966227	-5.1243919	-10.985835	-2.8206236	-9.6353247	0.95799915	8.7579034	0.12505186	-2.2822921	3.6011826	-3.6288121	2.723304	9.1668085	2.7272905	0.23808095	5.8850838	-0.49143651	-5.4861293	2.5313215	-4.3478654	-10.359688	-5.0287383	-9.7044275	1.1081533	9.3698191	0.97251857	-2.065463	4.97569	-3.1814792	3.185548	9.7885082	2.7736219	-0.41031416	6.1806324	0.3451971	-5.7778986	3.2001988	-4.029746	-10.933938	-5.5756381	-9.0513417	0.9404532	8.8918787	1.4887285	-2.3181998	5.066983	-2.1251713	2.8264421	10.386485	3.0807716	-0.02915036	7.1387218	0.14152522	-6.8618954	2.3578919	-5.1073295	-9.7647325	-4.1483387	-8.8473849	1.0441379	9.0797893	1.369672	-1.672165	5.1216452	-3.9456443	3.1291276	10.140656	3.2175651	0.075751607	7.1565509	-0.14086776	-8.4182514	1.3103409	-7.7038948	-9.5216479	-3.7386223	-9.1865699	0.7803432	9.1706396	1.5003188	-3.1014882	4.5511462	-3.0993407	3.4911088	10.452218	3.9651653	0.18997763	7.1026936	0.82622508
-11.914586	12.30637	-6.2655637	2.1049577	-5.8726526	-10.225634	-2.1221577	-10.644965	0.24848238	8.3051247	1.4047985	-3.2987753	4.383703	-2.8280006	1.8174334	9.7235636	2.5631867	-0.96729273	5.9636329	0.77449414	-5.5350227	2.106909	-4.9153634	-10.886522	-3.8635733	-10.040475	0.7451524	9.4083117	1.4118285	-2.8314894	4.6297898	-3.1899693	2.6303237	9.9383067	3.1633232	0.12080104	6.3717978	0.36139297	-6.4132566	2.2951775	-5.079795	-10.223132	-4.5139229	-9.7035495	1.2462535	9.0078676	1.4363224	-2.8529124	4.3260708	-3.4818236	2.8729704	10.48591	3.7254338	0.16225028	7.4290925	0.34316939	-5.6147717	2.1435115	-5.4485838	-9.0431541	-3.12906	-9.8554418	1.6982063	8.9971076	1.3786486	-2.909076	5.332577	-4.6158473	3.2021124	11.515319	3.8457164	-0.57076755	7.1012029	0.23601284	-8.0905304	2.1541096	-6.2731934	-10.848218	-3.8340841	-9.8482954	0.77579515	9.9806436	0.96469763	-2.3881341	4.2732178	-3.4898709	2.9031283	11.127211	4.0762564	0.18058656	7.9377262	0.3832578
-12.069732	12.42662	-6.9286147	2.1801873	-6.1193206	-10.830648	-2.3518559	-9.4539758	0.23076455	8.7004797	1.2657497	-3.1021284	3.8021139	-3.4039754	2.1178863	9.6303338	3.5957852	-0.3747309	6.1749101	0.080896278	-5.2531902	2.8210038	-6.192705	-10.678408	-3.843467	-9.5030869	0.77265559	9.5178963	1.3093522	-3.2543028	4.7734268	-2.6232908	2.0889224	10.203163	3.3790182	-0.75294792	7.0119538	0.71118924	-5.4546666	2.2843485	-5.6008739	-9.5343927	-4.4312457	-10.105307	1.4213761	9.0374885	1.6073062	-3.1265019	4.7550891	-3.2751724	2.9085795	10.929565	3.3328074	0.0064888705	7.6562702	0.5901357	-6.2397739	2.9921369	-5.7568181	-9.8481655	-3.0867958	-9.7511579	1.1987704	9.0702264	1.5164623	-2.4826291	5.0118899	-4.8529692	2.7214902	10.552769	3.148139	-0.50614025	6.9028725	1.1172476	-9.0146783	1.2221357	-6.9824578	-10.691599	-3.8063798	-9.4016824	1.8412905	9.7963814	1.5469665	-3.051762	4.4568186	-2.9684215	2.7474198	11.46988	3.505223	-0.33579341	7.9842481	1.2725209
-12.177629	12.489642	-5.6180396	1.5580057	-8.248417	-10.505449	-3.3309663	-11.255643	0.69324214	9.0861787	0.73038452	-3.2487928	4.04105	-2.7593964	2.101073	9.8154544	2.6655375	-0.75605046	5.3034482	-0.025204548	-5.228471	1.197841	-5.0069827	-11.421837	-4.5890616	-9.4519809	1.1615881	9.4012343	1.29719	-2.802022	5.3502098	-3.6185398	2.8250078	10.072835	3.0054166	-0.55522801	6.2830985	-0.049914821	-5.6327458	2.4860932	-5.4527609	-11.302407	-4.5941453	-8.7473424	1.1096073	9.5579998	1.9118463	-3.0104974	5.1086499	-2.2180119	2.5086428	10.329807	3.7408235	-0.67725453	7.3515503	0.4641064	-4.9888161	2.1481737	-6.1024519	-9.0662486	-2.8688254	-9.1130175	1.5495804	9.8289037	1.7628153	-2.6730597	4.8428324	-3.3894636	3.2736382	10.917865	3.6340982	-0.51634315	7.9551603	-0.079344854	-7.2627983	1.701463	-5.6557491	-11.401428	-3.2295591	-9.2396638	1.0568326	10.51538	1.4643111	-3.9181766	4.7866783	-4.1302414	3.971462	10.875071	4.9176914	-0.59852332	7.2603393	0.72065478
-11.903804	12.222009	-6.7442534	1.2150972	-6.4260963	-11.644306	-2.7024824	-10.298478	0.3860549	8.5602376	1.1439628	-3.4592516	4.8719971	-3.8494064	2.5305712	9.4889732	3.2879296	-0.79025656	6.40647	-0.33702228	-5.4767915	2.3103195	-5.2376021	-10.413718	-3.4023745	-10.251788	0.79975421	9.5312159	1.8387375	-3.3561814	4.5492963	-3.1059098	2.0090557	10.598104	2.9304778	-0.50169414	6.5676527	-0.17225807	-5.0737813	2.3808396	-4.4625427	-10.068476	-4.9548028	-9.540835	1.0214414	9.0974655	2.4760534	-3.5217326	4.431879	-2.8059047	3.2575133	11.088381	2.8215682	0.011143231	7.2653278	-0.15539158	-6.6966522	3.3580801	-5.3824285	-10.469274	-2.6117807	-9.397951	0.96666414	9.8355871	1.8296031	-3.0828665	5.250956	-3.9901744	3.0296185	11.284257	3.1137344	-0.52937778	6.9631451	0.16960329	-7.6704832	1.8695653	-7.1802103	-9.6628671	-3.5048626	-9.1069651	1.714187	10.173571	1.4989356	-3.2726096	4.241288	-3.4913632	3.1859904	11.386383	3.1782305	0.67089684	7.6116603	0.59372707
-11.95075	12.398319	-6.3050953	1.5445729	-6.5263642	-11.170562	-2.0689726	-11.018053	0.68338598	9.0562113	1.1660407	-3.6096446	3.5893906	-3.1941363	2.41615	9.8225565	2.8948783	-0.98950139	6.0445525	-0.14281777	-5.9906593	1.3982961	-3.8796531	-10.288122	-4.372329	-9.8945257	0.82228464	9.5221316	1.1907971	-3.3862246	4.9430133	-2.9347311	2.4114903	9.9425276	2.849727	-1.1377334	6.8682893	-0.5744734	-6.3170556	2.9153929	-5.016077	-9.9336497	-3.5409481	-8.8567879	1.0868231	9.3778942	1.3949328	-3.6753888	5.009076	-2.7539449	2.1856667	10.629298	3.6379546	-1.0665476	6.9695758	0.13436924	-5.8253565	3.0936799	-5.5097141	-8.9073594	-2.0414851	-9.7514155	0.96787909	9.2602735	1.5623454	-2.7838785	4.9898528	-3.2689182	3.0749904	11.662366	3.2365346	-0.98145785	7.1845799	-0.06897389	-7.9916035	1.891476	-5.2475	-10.639689	-2.5271292	-8.4277872	0.01108689	9.7949867	1.4207131	-3.5150619	4.4022119	-3.2190919	3.4836036	11.823477	4.3389396	-0.57895865	6.9106744	0.31242938
-11.898066	12.212624	-6.2597209	2.1507963	-5.4104482	-9.9760221	-2.4514543	-10.43259	0.45268059	8.6567483	0.79511029	-2.0184381	4.4548185	-3.0510986	2.1680873	9.5736152	3.2470131	-0.82572511	5.897322	-0.62872108	-5.8162813	2.806193	-5.5802025	-10.145852	-3.4140746	-9.7926674	0.87500551	9.3527692	1.2461455	-2.6304554	4.6025723	-3.2002821	2.605342	9.8912784	2.8149662	-0.4657133	6.6757018	0.57652216	-6.0100341	3.0175538	-4.4991966	-10.768235	-5.501924	-10.442608	0.61080406	9.0044973	1.6881006	-2.4410184	4.7764069	-2.8029003	2.7255516	10.416052	3.1601426	0.049677231	7.302562	0.036923319	-6.1014841	2.7191187	-5.3437696	-9.7325582	-3.4059167	-9.682367	1.267238	9.6778073	1.469154	-2.4940402	5.3414126	-4.2361707	2.9836915	10.50709	3.0784116	-0.19768898	7.5411844	-0.10192088	-7.3462725	1.6822868	-7.1126057	-10.14447	-4.5814285	-9.9604255	1.9414303	9.6904445	0.63116639	-3.7420088	5.2659077	-1.8782651	2.9532659	10.57434	3.9309766	-0.32254524	7.6032329	0.46048284
-11.773436	12.070529	-6.1288587	1.842377	-5.6342191	-9.4989791	-2.8191882	-10.5043	0.7101129	8.6935992	0.51983849	-1.9865073	4.3070443	-3.8302367	2.2226669	10.193994	3.0562962	-1.0672832	6.0109199	-0.3408505	-5.5848353	2.5298661	-5.6012184	-10.388841	-3.7471836	-9.3986292	1.0019916	9.4773553	1.2983098	-2.4041323	4.6111593	-3.5105189	2.6456847	9.9714023	3.1927178	-0.50044817	7.1138964	0.62306991	-5.4412704	2.9552534	-4.0661521	-10.152371	-5.7813628	-9.9914024	0.75077075	9.2031495	1.5814119	-2.261902	5.0100204	-2.8370947	2.6316046	10.414605	3.2128508	0.01796358	7.2038139	0.34705185	-6.6924727	2.4545225	-5.5431252	-9.5354348	-3.232441	-9.7216639	1.3658363	9.2753946	1.2813144	-2.7512277	5.1077065	-3.8116322	2.8254832	10.854607	3.0815307	-0.51409154	7.7422884	0.26693428	-7.8234323	1.4848105	-7.2310898	-10.18452	-3.58362	-10.351882	2.0064993	9.5932511	0.82496682	-3.7328113	5.3666914	-2.9395839	2.7744401	10.436813	3.8715524	-0.42240893	7.4637635	0.12001761
-11.931736	12.496163	-6.5110265	3.5017388	-5.7841705	-11.135903	-4.0116461	-10.627546	0.69320327	8.2937495	0.28727187	-3.4818461	4.2193342	-3.4253145	2.7134523	9.4987903	2.7415638	-0.045461135	6.4708431	0.22776349	-5.8859737	2.7547258	-4.2389779	-10.983707	-4.6112524	-9.6145834	1.0402045	8.6721709	0.15408715	-2.5869653	4.8788951	-3.6945658	2.7342075	10.019864	2.9818158	0.047504207	6.9037272	0.33544408	-6.1713492	3.4290788	-5.2187189	-10.497405	-4.749619	-9.5618856	1.2282016	9.3932394	0.65192687	-2.7803037	4.9535413	-3.3478639	2.8242053	10.218609	3.4076068	0.077783288	7.9073355	-0.17478659	-5.2907855	3.4358118	-5.2245212	-8.8708437	-4.5207884	-9.3351945	1.4475426	9.6515602	0.84763951	-1.8887458	5.0190045	-4.7120586	3.5785283	11.048526	3.0261599	-0.14144452	6.9222826	0.0062576391	-7.6466161	2.0537894	-6.0411625	-11.6538	-4.0851761	-8.4784427	1.274423	10.151336	0.54119446	-2.9564641	4.6226193	-3.9971898	3.7893079	11.300241	3.6514457	0.14993614	7.4839141	0.72070081
-11.867451	12.323823	-6.4974516	3.2427748	-6.1897556	-11.20597	-3.9213565	-10.514793	1.074975	8.3793605	0.49951756	-3.5090157	4.338635	-3.3925702	2.4030979	9.4193613	2.6750956	-0.062049894	6.7796221	-0.29522283	-5.6620371	2.9122892	-4.442345	-11.055112	-4.5990822	-9.7201913	1.1741093	8.6894953	0.37491989	-2.7282146	4.9755318	-4.1283453	2.6107409	10.341298	3.423819	-0.023237023	6.8804896	0.62789611	-5.7661817	2.8137786	-4.9281525	-10.484113	-4.4892921	-9.4501312	1.0900825	8.9413743	1.0652854	-3.2851041	5.0849155	-3.2045694	3.0661647	10.432581	3.5245286	0.06973298	7.5201058	-0.21572066	-5.7915098	3.9893455	-4.657639	-8.7625121	-3.869409	-9.5371068	1.4769896	9.3973645	0.80998752	-2.2671387	5.0408232	-5.2823952	3.4906312	10.85716	3.1578394	-0.10457918	6.7807249	-0.22014255	-7.2796046	2.0724916	-6.7884711	-11.270412	-4.3704567	-8.9645937	1.0756044	9.8209704	1.1630905	-2.6555347	4.8447664	-4.1799374	3.6997564	11.447472	3.685149	-0.089259835	7.5174109	1.1015617
-11.636125	11.954303	-5.4871818	2.4041344	-5.9060489	-11.088482	-4.0377278	-10.774272	0.8669534	8.7500579	0.18555965	-2.3623929	4.315443	-3.2835427	2.5752516	9.379739	2.8958218	-0.47676592	5.3941872	0.10648353	-5.2760277	2.9674928	-4.5895632	-10.479413	-5.0095455	-9.4314828	1.0126096	9.1379603	1.2203004	-2.8819027	5.3763432	-3.4189892	2.9981666	9.5392956	2.3538892	-0.4806329	6.3518796	-0.90009313	-5.7296788	3.2936973	-4.4774576	-9.8696244	-5.3376746	-10.590965	1.493869	8.7699222	1.4532172	-2.4826389	5.0545768	-2.9774072	2.8280266	10.353688	2.9726492	0.33197102	7.6960067	0.34065838	-4.8667212	3.0726189	-5.1365129	-10.171346	-1.8606209	-8.9006147	1.1279133	8.7758786	1.3645711	-2.6620389	5.5447947	-4.8697192	3.2193925	10.690968	3.0677904	0.19330327	7.7264246	0.39993943	-7.58712	2.3271189	-5.7446508	-12.065771	-2.7172091	-9.4304079	0.64274953	9.6781857	0.7433866	-3.4232561	4.4766187	-3.9522796	3.8881927	10.428894	3.4418407	-0.28653473	7.6271284	0.1667506
-11.811623	12.070971	-5.8137865	2.6210656	-5.9117214	-10.802014	-3.9656216	-11.383605	0.94981939	7.905123	0.39730143	-2.0545539	4.4216306	-3.4378479	2.9594597	9.3191061	2.4730392	-0.35592013	5.5341202	-0.4736192	-5.5571766	2.7519944	-4.27651	-11.151237	-4.3583408	-10.49975	1.2950819	9.2181004	1.1096737	-2.3355346	4.5863756	-3.6621064	2.2691028	9.9457506	2.3097075	-0.037262938	6.4329347	-0.15605976	-5.5441167	2.6572026	-4.2234967	-10.772817	-5.65983	-9.6082359	1.5113309	9.3952852	1.7924387	-2.4558326	5.3746948	-2.8896491	3.1904632	10.352487	2.9657586	0.16219889	7.4928119	0.18035995	-5.8593212	2.6679915	-4.9955198	-9.6953968	-3.2461205	-9.4751523	1.1016323	9.0277069	1.4942731	-2.562338	5.0646576	-4.0131839	3.351807	10.315152	2.9104516	-0.12990309	7.2097723	-0.050225843	-7.9386092	2.2527925	-5.2762152	-11.5263	-3.5735061	-8.4375619	0.91388863	9.6982973	1.4126204	-3.2531902	5.0064636	-3.0229801	3.6695632	11.156143	3.7805504	-0.40431405	7.8146358	0.42366537
