alpha	alpha_i_sd	beta[1]	beta[2]	beta[3]	beta[4]	beta[5]	beta[6]	beta[7]	beta[8]	beta[9]	beta[10]	beta[11]	beta[12]	beta[13]	beta[14]	beta[15]	beta[16]	beta[17]	beta[18]	beta[19]	beta[20]	beta[21]	beta[22]	beta[23]	beta[24]	beta[25]	beta[26]	beta[27]	beta[28]	beta[29]	beta[30]	beta[31]	beta[32]	beta[33]	beta[34]	beta[35]	beta[36]	beta[37]	beta[38]	beta[39]	beta[40]	beta[41]	beta[42]	beta[43]	beta[44]	beta[45]	beta[46]	beta[47]	beta[48]	beta[49]	beta[50]	beta[51]	beta[52]	beta[53]	beta[54]	beta[55]	beta[56]	beta[57]	beta[58]	beta[59]	beta[60]	beta[61]	beta[62]	beta[63]	beta[64]	beta[65]	beta[66]	beta[67]	beta[68]	beta[69]	beta[70]	beta[71]	beta[72]	beta[73]	beta[74]	beta[75]	beta[76]	beta[77]	beta[78]	beta[79]	beta[80]	beta[81]	beta[82]	beta[83]	beta[84]	beta[85]	beta[86]	beta[87]	beta[88]	beta[89]	beta[90]
-11.760113	11.971241	-5.3152043	2.7530593	-5.2572793	-11.257252	-3.7362324	-10.770203	0.61744506	8.0035035	1.5020763	-2.313159	3.9248289	-2.9180966	2.2211702	8.6148966	2.680974	-0.50119903	6.0343971	0.21494874	-5.3549326	2.8423751	-4.4445447	-11.176754	-4.8101613	-10.799534	0.52028262	8.5566764	1.4614385	-2.0125296	5.0287114	-2.5327953	1.9750653	9.9660649	3.0999641	-0.13756815	6.4127448	0.4912519	-5.0746206	3.788515	-4.6568833	-11.100763	-6.8330553	-9.1369899	0.45549588	9.0744649	1.7231801	-1.9871207	4.6010691	-2.396757	2.8057475	10.068712	3.3913979	0.27524636	7.4819536	0.8184799	-5.235047	2.4329826	-5.8947357	-10.007783	-3.1250549	-9.2290413	0.66985815	9.5073675	2.4361197	-2.2634375	4.9362856	-3.0487868	2.8638559	10.142887	3.3596587	-0.44819498	7.44234	0.74310742	-8.239758	1.8658115	-6.8147745	-10.479206	-4.1995675	-9.4726499	0.57724054	9.6159392	1.7147658	-2.956994	3.9952867	-2.9656106	2.6160556	10.41394	3.8576919	0.24505675	7.5909033	0.47098568
-11.95527	12.311678	-6.1824431	1.5879611	-5.0587979	-10.721015	-3.2869804	-10.98436	0.22213017	9.0617591	1.2009629	-2.810965	4.3495947	-3.1041647	1.7795703	8.401512	3.562287	-0.45833106	6.2057984	0.29884964	-5.3215155	2.7309842	-3.8773351	-11.086071	-4.0945938	-9.2832373	0.039398512	9.1247839	1.2984578	-2.0640622	4.5793188	-4.3225689	2.0694014	9.0369264	3.3746572	-0.50804997	6.9083071	0.17286041	-5.4002574	2.7665745	-4.953474	-11.046479	-4.6642582	-9.9082237	0.87737213	8.6174837	2.5696195	-2.532563	4.9851513	-3.24716	1.9949703	9.8909664	4.0845289	-0.41649697	6.9901047	-0.050393111	-5.3331831	2.5742761	-5.6285679	-9.3943731	-2.955334	-10.15395	0.82361957	8.5826372	1.6185302	-1.4342339	5.3738988	-4.3047463	2.7777017	10.641576	3.8034409	0.1949467	7.4375396	0.10198789	-7.9890554	2.2023744	-6.4107067	-11.154551	-3.0216853	-10.052525	1.6225942	9.6624376	1.509946	-2.583147	4.8695105	-3.7989377	3.3745289	10.947263	4.0157752	-0.13008489	7.5354348	1.276566
-11.929818	12.226033	-5.8823029	2.1856243	-5.3507428	-10.641701	-3.2606041	-12.094425	-0.43926502	8.3097724	1.2963468	-3.0214872	4.4553505	-3.970791	1.7663532	8.9742665	3.6526782	-0.42264672	5.6595055	0.13011061	-5.5481773	2.0562922	-4.2136998	-9.9711836	-3.4246582	-9.8659981	0.59008927	9.3805352	1.7608511	-2.3345086	5.0687189	-3.5478678	2.3479958	9.4783427	3.7495286	-0.59205995	6.7541947	0.13129561	-5.2103393	3.1412624	-5.1427474	-9.5087134	-4.8292892	-9.5161158	0.37061026	8.7088026	1.8627051	-2.4468321	5.1316281	-2.9864541	2.7866473	9.5759473	3.6999289	-0.18289336	6.8902688	0.0092869357	-5.4747075	3.1807409	-4.7898389	-10.149155	-3.7355689	-10.324688	1.0462103	8.7555732	1.4024404	-1.7013949	5.3216901	-3.7809829	2.519993	10.613989	4.1669493	-0.22247691	7.4975768	0.27636233	-6.7710666	2.6054013	-6.7815333	-12.220407	-3.5741514	-10.081588	1.1406196	9.4643505	1.7774267	-3.7751984	4.6714226	-2.9457071	3.2903442	10.05693	4.0165996	0.0048026169	7.6672713	1.3323346
-11.952995	12.19124	-6.0489497	2.393484	-5.3546315	-10.795801	-3.400996	-11.675662	-0.38198467	8.6375245	1.2223846	-3.0021772	4.5814925	-3.887722	1.6209342	9.1833172	3.6972722	-0.18158549	5.5966962	0.18520693	-5.6841547	2.3527649	-4.1745317	-10.156387	-3.8464632	-9.8193483	0.57976547	9.3344818	1.6768705	-2.4098438	5.138796	-3.4905931	2.3155925	9.4345994	3.6405158	-0.89556844	6.5301026	-0.039849459	-5.1304501	3.2825257	-5.1966252	-9.9332814	-5.0231715	-9.2320225	0.6075877	8.5300851	1.9630484	-2.4698412	5.09978	-2.6475303	2.7997963	9.6142106	3.7997055	-0.28275135	7.053743	0.17680913	-5.377876	2.9502203	-4.6816279	-10.264974	-3.7360793	-10.769999	0.98875633	8.6232063	1.3702211	-1.7213766	5.4978934	-3.8222888	2.6792763	10.70747	4.2311301	-0.041971723	7.3890658	0.64145814	-6.689884	2.7510888	-6.4774524	-11.786308	-3.966352	-10.607927	1.2545981	9.268698	1.8115305	-3.640107	4.5710533	-3.3358247	3.2237762	9.9185984	4.0434233	0.18948393	7.7121908	1.2097384
-11.409339	11.756228	-5.1667883	1.7824812	-5.623928	-10.600496	-2.7219368	-9.1913677	1.2696609	7.6990263	0.23575098	-2.1005574	4.5711969	-3.4812175	2.5777064	9.7095986	3.3600565	-0.45991199	6.1043602	-0.11772465	-5.1434162	1.8044208	-5.3070667	-9.9378459	-4.6125028	-9.519063	1.675671	8.046582	0.84656384	-3.3389306	4.6638908	-3.9109463	2.1606755	9.557229	3.8696797	0.32608998	6.3504912	0.6205297	-5.7880154	3.0985992	-4.5243469	-10.508039	-5.1752531	-8.9940519	1.3837427	8.4300104	1.7665032	-2.4894311	4.5337744	-3.5640146	2.7579128	10.468265	4.0137803	0.073100702	7.0232814	0.26730607	-6.6421823	3.3280103	-5.7993926	-8.3332343	-3.055723	-8.8411367	1.2381241	8.2877651	1.6941412	-2.5186123	5.1764677	-5.0103215	3.3469755	10.216538	3.8242001	-0.052440489	7.1065604	0.024622881	-8.4011826	2.3414045	-6.0012099	-11.097319	-4.7972043	-9.788398	1.1498637	9.0696767	1.367471	-1.903542	4.5924448	-3.9853463	3.4694842	10.319339	4.1217332	0.17694237	6.9468669	-0.34247385
-11.535462	11.89165	-6.002477	1.7059994	-5.8197152	-10.773209	-1.4987367	-9.6676184	1.2471284	7.9435846	0.82127063	-2.7218471	3.7377909	-2.308475	2.5221636	8.7595833	3.3658783	0.22399209	6.060046	0.3507951	-5.0891873	2.4685999	-4.4028044	-10.263165	-4.3698245	-10.13074	0.9811954	8.4632698	1.1103402	-2.9096887	5.2143748	-3.1407012	2.0670224	9.7064598	3.6218912	-0.19120528	6.2569512	0.0659218	-6.0560958	3.436658	-4.8340663	-10.180431	-4.4418348	-10.054656	0.97672981	8.5218495	1.5143442	-2.8944401	4.8452824	-3.8330711	2.972334	9.9852453	4.0972252	0.085548534	7.0124088	0.7933074	-6.3134198	3.3268986	-5.5710121	-8.7059366	-2.2744828	-8.5885888	1.3253175	8.8937476	1.817015	-2.3354551	5.0649609	-4.5625927	3.0465957	10.492809	3.4836353	-0.36819246	7.0465129	0.15940851	-8.5089924	2.875645	-6.3501775	-11.818717	-4.846605	-9.2610238	0.50380161	9.3901438	1.0143608	-2.4693851	4.2383367	-4.5464865	3.5109681	10.220112	3.6538378	-0.21745217	7.2267064	0.096504306
-11.287741	11.689402	-5.675011	2.2278103	-5.2686411	-9.9206283	-3.0754978	-10.446132	0.50026351	8.0562527	0.94824296	-2.0081127	3.8753561	-3.3998926	2.6526818	9.1482763	2.3751086	-0.79741861	4.9898847	0.3244402	-5.274346	2.1021142	-4.612693	-10.956172	-3.3004432	-9.8150687	0.8721874	8.8444808	1.4954142	-1.3906813	4.2653488	-3.8880338	3.2609318	9.4070196	2.7962993	-0.30593479	6.0556694	0.48886154	-5.0337318	2.9205849	-4.7949356	-10.075347	-4.6547107	-9.4748035	1.2314395	8.9550157	1.8135809	-1.7929983	4.3696739	-2.5631349	2.9785451	9.5240767	2.8157218	0.048849153	6.159102	0.56168038	-6.5565355	3.2633003	-5.1227279	-10.259478	-2.7232978	-9.811964	1.1247005	8.9252774	1.2446071	-1.6903042	4.9298754	-3.9537955	3.2946572	9.6851797	3.3904258	0.059467611	6.561083	0.95310361	-8.1603184	2.0948172	-6.7013304	-10.767011	-3.4994627	-9.7795273	1.1438189	8.3931963	1.1202742	-2.3161083	5.10976	-3.4242889	3.7473715	10.216216	3.6016862	0.27578248	6.7753903	1.3156145
-11.758522	12.147261	-5.8597695	2.8475061	-4.463409	-11.17426	-3.7254153	-10.524678	1.0143431	8.1211701	0.88793191	-4.1274833	4.3745949	-2.8843984	2.4400733	9.9180555	2.5063457	-0.038861737	5.2557681	-0.25851129	-5.6690112	2.6600245	-4.6693939	-10.076808	-5.1603577	-9.7108109	1.0966177	8.5877558	0.86835222	-3.2447505	5.373846	-3.384768	2.8020183	10.087345	3.0586341	0.10598634	6.2011581	0.017088963	-5.2601252	3.52895	-4.3385013	-10.492661	-5.6928868	-10.274736	1.6856849	8.4901086	1.6735934	-3.0685476	4.6567108	-2.6163043	2.9814352	10.657417	2.7803164	-0.37934051	7.2173873	-0.96730183	-5.0651647	2.893996	-4.5313884	-8.4829545	-4.1828667	-9.4346224	1.2707927	8.9963409	1.409955	-2.8818752	5.1045186	-4.2900357	3.2380344	10.853337	2.9721897	0.26838433	7.2677482	-0.2487445	-8.4799463	1.1651241	-5.9219194	-10.45629	-4.1307652	-9.3045404	1.5276275	10.05098	0.89275408	-2.9279816	5.2795368	-2.4665049	3.5780867	10.961728	3.64453	0.50290058	7.6367503	-0.54284349
-11.933807	12.353072	-5.915201	1.7030658	-4.8072406	-11.402609	-3.4836169	-10.514079	0.83820413	8.3419527	0.69782361	-1.5839101	4.9691535	-3.5358974	1.7544989	9.7091049	2.3696818	-0.88414104	6.2906954	-0.34823578	-5.1040129	3.1060034	-3.7067522	-11.314744	-4.8790156	-9.602537	1.4162607	8.6476009	1.1856496	-2.9711527	5.5202264	-3.1629008	2.1389254	10.233481	2.6797779	-0.80854991	7.1514561	-0.78461879	-6.7233475	3.0863715	-4.6670895	-10.233514	-4.7067631	-9.9995237	1.5035087	8.7024203	1.5016931	-2.8531741	5.5430184	-3.5110096	2.5617868	9.9519189	3.399459	0.20731329	7.5681131	0.12552448	-6.1764584	3.4453775	-5.1245458	-9.3059874	-2.40054	-9.7938731	1.432407	8.3989534	1.7403874	-2.4524443	5.7540656	-4.0786067	3.1925613	10.765279	2.9557831	-0.2511308	7.6029743	-0.068346587	-9.151933	1.7229865	-6.853197	-11.323984	-2.8776247	-8.9462451	0.94415082	10.841397	1.1718516	-3.766234	4.7051537	-2.6196142	3.2325007	10.844164	3.2356974	0.038712958	7.791867	-0.026558539
-12.085465	12.423414	-5.5004657	2.5042718	-5.241727	-11.139518	-3.4335925	-11.325704	0.29430608	8.033252	1.0602547	-2.5494726	4.9053924	-2.8980645	1.5664862	9.928791	2.0421484	-0.68990962	6.0834091	-0.66815544	-5.9228099	3.2557879	-4.4453828	-10.847465	-5.1536691	-9.0567225	1.3149848	8.5615753	1.5571611	-2.8783191	5.410179	-3.1061403	2.2350851	9.7753121	2.6966432	-0.47499435	7.117673	-1.1475242	-6.59044	2.8166833	-5.0652799	-10.374935	-5.1206256	-9.770635	1.3499769	8.8034393	1.6669247	-2.0930483	5.6970851	-3.0416983	2.8931325	10.425763	3.2929249	0.10885613	7.1459602	0.052675176	-5.7929502	3.6747113	-5.4322473	-9.1566616	-2.7551916	-9.807118	2.0106004	8.9075485	1.7986754	-2.4852514	6.1444531	-4.0400119	3.313944	10.840182	2.9542111	-0.41029531	7.6945606	-0.018302118	-9.411471	1.5563814	-5.7892316	-12.036747	-3.7136213	-9.0351446	1.046214	10.59265	0.93054997	-3.5970305	4.6782426	-2.6999873	3.3614063	10.93515	3.4203279	0.11720786	7.9921708	0.15223889
